model,family,PC1,PC2,PC3
Site_Independent,evolution,0.15166084591110598,-0.13263242245423826,0.16153058330443718
EVmutation,evolution,0.16204980215621,-0.1778140036009949,0.14875587817247607
DeepSequence_ensemble,evolution,0.1632482402541112,-0.17711028380437932,0.13191258920859475
EVE_ensemble,evolution,0.17547374105170396,-0.17988023881917733,0.15653236119278455
Unirep,single_seq,0.08913214064614819,0.1446350813019136,-0.28958686773942893
Unirep_evotune,evolution,0.1406441180059901,-0.0813214466266288,-0.004403999478399122
MSA_Transformer_ensemble,evolution,0.17847550605209378,-0.10607392861645633,-0.0469931312041801
ESM1b,single_seq,0.1645706721698971,0.03019617364686575,-0.2862555236632699
ESM1v_ensemble,single_seq,0.17357339364946756,0.014782811144839838,-0.26409685679066336
ESM2_650M,single_seq,0.16727178691550937,0.11708763026054016,-0.2418818563501987
Wavenet,evolution,0.15172079052987283,-0.1087631550773344,-0.015511472706938029
RITA_xl,single_seq,0.15983199269384596,-0.11961652515827893,-0.1046900767765016
Progen2_xlarge,single_seq,0.16033475760985472,-0.1302617431290697,-0.0716086747076974
GEMME,evolution,0.17391011003423987,-0.147803932113158,0.13424915482068556
VESPA,single_seq,0.17356751725545946,-0.10597356752346183,0.0018008836433713751
VESPAl,single_seq,0.15305509171146714,-0.11397730772064692,0.07130918660410493
VespaG,single_seq,0.17578778299792214,-0.0417608399142456,0.005567746178130057
ProtGPT2,single_seq,0.07205314883615228,-0.009672542737569859,-0.13434561339898207
Tranception_L,evolution,0.18166938420016707,-0.13713025106845117,0.018347541552287135
TranceptEVE_L,evolution,0.18667307133043262,-0.16870875006357758,0.07921775538217779
CARP_640M,single_seq,0.1699687168695696,0.022019259556769945,-0.2474385493524321
MIF,structure,0.1280998487014356,0.32491094991418357,0.29574429996519014
MIFST,hybrid,0.1596266850285997,0.1811721955134333,0.10298917304644464
ESM-IF1,structure,0.12865680695352336,0.29675307167105097,0.26753387833050246
ProteinMPNN,structure,0.06703854032267897,0.21034707862200513,0.27950326184725316
ProtSSN_ensemble,hybrid,0.16966503264086694,0.17340036426216052,-0.05997424794493578
SaProt_650M_AF2,hybrid,0.16544746717077174,0.1880615808693282,-0.07578685146763695
PoET,evolution,0.18694355746114816,-0.051396285878031,-0.04301339871335393
MULAN_small,hybrid,0.1185018220495914,0.22280275929758162,-0.1428341492219053
ProSST-4096,hybrid,0.1298826754520061,0.20906790976113254,0.04628343202011293
ESCOTT,hybrid,0.17414432972706423,-0.1307444446775724,0.1818578312980415
VenusREM,hybrid,0.15839991105980644,0.13513393407438556,0.08700784889729292
RSALOR,hybrid,0.16359881601781268,-0.05379384870246119,0.19358332007289172
S2F,hybrid,0.17168444711780856,0.20262080920380857,-0.05983052092344752
S3F,hybrid,0.17195036557470209,0.20134460599992432,-0.02945378475063994
SiteRM,evolution,0.17580833199903304,-0.15916430415256175,0.10141227250064755
ESM3,hybrid,0.15210364479476837,0.2945182623022801,0.16499684462957012
ESMC-600M,single_seq,0.1686300337563991,0.06464221850718252,-0.27049272020772364
xTrimoPGLM-100B-int4,single_seq,0.14832025002816931,-0.12226068188066494,-0.08292737466285845
Progen3_3b,single_seq,0.16421612159471044,-0.107280514480248,-0.08133990329811382
