,Site_Independent,EVmutation,DeepSequence_ensemble,EVE_ensemble,Unirep,Unirep_evotune,MSA_Transformer_ensemble,ESM1b,ESM1v_ensemble,ESM2_650M,Wavenet,RITA_xl,Progen2_xlarge,GEMME,VESPA,VESPAl,VespaG,ProtGPT2,Tranception_L,TranceptEVE_L,CARP_640M,MIF,MIFST,ESM-IF1,ProteinMPNN,ProtSSN_ensemble,SaProt_650M_AF2,PoET,MULAN_small,ProSST-4096,ESCOTT,VenusREM,RSALOR,S2F,S3F,SiteRM,ESM3,ESMC-600M,xTrimoPGLM-100B-int4,Progen3_3b
Site_Independent,1.0,0.8012759303000675,0.7004508022321969,0.7683188211526605,0.37557234353603247,0.41302964294301975,0.6138208367025746,0.5046505887509626,0.5530545959481289,0.5508180186244499,0.5314527753471221,0.4405132441757474,0.44739100799033166,0.6672504310702404,0.557316256642359,0.5098900570505482,0.5846737871824214,0.2235673136702356,0.7409613823103474,0.7468931079002052,0.523767603147751,0.39498093222270325,0.4590341888230565,0.4006141322633422,0.2531873103607402,0.5455944154852568,0.5242710240413047,0.6550969659497583,0.4024037344870213,0.4590930606257376,0.6820507241806898,0.577723304261115,0.6017217873498847,0.5413660485194379,0.5383209856344182,0.7906210122532172,0.49239253484529194,0.5351605331944295,0.4423258146027418,0.4821956822959483
EVmutation,0.8012759303000676,1.0,0.8107452766789477,0.8418309648701952,0.3098972212895562,0.47566455846563793,0.6830557866343875,0.567273007089249,0.6004105132089732,0.58762059023904,0.6027817125591945,0.5054004696650968,0.5317830976095173,0.7021219269964656,0.6146827039535973,0.5469121955975753,0.6222829131143587,0.23644988349610652,0.7316818983572858,0.8160171722444519,0.5798053967126056,0.3948782105832794,0.5144977029557041,0.41800745874078105,0.2510234148972085,0.586813668586698,0.5808966664148567,0.7146822332636934,0.37691252636126127,0.44640302082258293,0.7236321478661248,0.5432798199390019,0.6505571840876759,0.576578621952175,0.5776831401527254,0.7425508052219334,0.5199003478316605,0.6019996648616175,0.5565443121747238,0.5459698613974321
DeepSequence_ensemble,0.7004508022321969,0.8107452766789475,1.0,0.9183772158170979,0.3115038221533874,0.5076251293965536,0.7246297084741579,0.6030730593305192,0.6407321784563927,0.6222151185253713,0.6428399919280657,0.5444288723228538,0.5688250505221009,0.7384137612906817,0.6483404911241942,0.5752464059302206,0.646799382313616,0.2632740322184214,0.7420223792278478,0.8745337722659154,0.6163199348793992,0.40520247298529416,0.542867041204757,0.44323664315974154,0.26843579346815616,0.6196838327355337,0.6088848038297003,0.7358085606532649,0.3819972327415118,0.46567125429134504,0.7417022139828755,0.5789249006045151,0.7184194516727536,0.616968279631112,0.6181320844236318,0.7387718559068214,0.545441989542301,0.6387696648132313,0.5893719841381753,0.5781069435960036
EVE_ensemble,0.7683188211526605,0.8418309648701952,0.9183772158170979,1.0,0.33434917531734026,0.5208214117748418,0.7558111987541415,0.6278447051892458,0.6682180596288624,0.6509362670717587,0.6583746112423671,0.5632432187175461,0.5851600920764273,0.7908236927524012,0.6747572452930936,0.5961534475629662,0.6750420757966189,0.27683761586185496,0.7830395065943978,0.9268425363857085,0.6425086849650776,0.4346253226363117,0.5709564931751336,0.4702260137753666,0.2886507270917045,0.6491232500541118,0.6362438353198993,0.776517143227315,0.40829423372059254,0.5004464742479311,0.7902208946390764,0.6262663240741455,0.7680028782683418,0.6491876289014215,0.6494155721979908,0.7930177073047121,0.5753309399571125,0.6623202867886301,0.6078986907135857,0.6007401179165077
Unirep,0.37557234353603247,0.3098972212895562,0.3115038221533874,0.33434917531734026,1.0,0.27769231847168746,0.37062847624000644,0.4442058359814984,0.49844924997673445,0.45324030208796107,0.3171177086002967,0.3747776060733848,0.3253650451295357,0.313709276329731,0.2969844395862216,0.22015111326423878,0.3537089258346442,0.17756937673216583,0.4134497490179779,0.3833280234574797,0.4454761503947346,0.32104647324489816,0.3233443039347976,0.31926814061632086,0.2094392762525781,0.37366456422163163,0.388371393129112,0.399554065068966,0.4501450547255394,0.3821371094442153,0.2959628055033813,0.37941856665969764,0.2925270710381697,0.38792152234932786,0.3709138515564089,0.36155197903265385,0.3616425462586152,0.4456198552238966,0.2979669669225859,0.36581623219810416
Unirep_evotune,0.41302964294301975,0.4756645584656379,0.5076251293965536,0.5208214117748418,0.27769231847168746,1.0,0.5846974379329367,0.4914087025024245,0.5243441170934916,0.49966244561139633,0.5439655187179202,0.5835006952062348,0.604624493965317,0.5512365388292864,0.5822786259610566,0.5314652067745601,0.5958308404032363,0.23849419496394952,0.6099433529457575,0.6001187743864388,0.5106830400613352,0.3639285607173609,0.47053341419286865,0.3983450180266313,0.22184565731133013,0.5249147267879511,0.49835506042243394,0.588152566423415,0.36102983227027213,0.4080616923595025,0.546245523966631,0.4815249378604917,0.4693946507777406,0.5181755013887913,0.5157095794321114,0.557936422531088,0.46819482516743616,0.4995965907933168,0.5009443841293656,0.5731284300284205
MSA_Transformer_ensemble,0.6138208367025746,0.6830557866343875,0.7246297084741579,0.7558111987541415,0.37062847624000644,0.5846974379329367,1.0,0.7000342297794114,0.7370978242726499,0.702963789251716,0.7050289504806222,0.6655976608465068,0.6967385003772611,0.7368274180129364,0.71855121279909,0.6094937791556311,0.7260212562277861,0.2880802379483915,0.770554784578227,0.8023910021638461,0.7113467890542144,0.4565891223346185,0.6120441462329118,0.4893904692073537,0.297506238883495,0.6841068788526663,0.6893857626574239,0.8308681232127076,0.46150965103947283,0.5149585386652122,0.7267410141613729,0.6419154110027356,0.6738359035078471,0.6843786024007409,0.6799878683184275,0.7377771164745817,0.6088419905436677,0.7281959526382973,0.6956483302295757,0.6802476473806731
ESM1b,0.5046505887509627,0.567273007089249,0.6030730593305192,0.6278447051892458,0.4442058359814984,0.4914087025024245,0.7000342297794114,1.0,0.8288760038250838,0.7742624168926933,0.5795266023771295,0.6447206803187329,0.6345929462166042,0.6217843973256305,0.6578796944178552,0.525920240823032,0.6626096112204184,0.3107251332010065,0.6731701398137798,0.6824153793506482,0.8214075260755991,0.4358723179830443,0.6243131301160771,0.4710162260183918,0.2811635930116568,0.6956377816290261,0.7188255864187405,0.7245168374082547,0.49832304692095747,0.508116664071086,0.6094573898652885,0.6031386486139797,0.5911325850296828,0.6955353036143869,0.6850931667052479,0.6096024900577014,0.5918319203553821,0.8240966221324773,0.6393534845355822,0.658336438324552
ESM1v_ensemble,0.5530545959481289,0.6004105132089733,0.6407321784563927,0.6682180596288624,0.4984492499767345,0.5243441170934916,0.7370978242726499,0.8288760038250838,1.0,0.7975446622402212,0.6194822157779409,0.6946027820203753,0.6748562845319499,0.6529771818645705,0.6918655767820713,0.5614306277375403,0.6969514720390528,0.3346129014116267,0.7288429032200366,0.7349395450000553,0.8300937746422944,0.4631016795482542,0.6319197320217884,0.5090232693985643,0.299390119323312,0.7186553874024323,0.7292801349563747,0.7692219062373419,0.5373587521852426,0.5496029735451647,0.6373485383185524,0.6451793652209373,0.6274288357378077,0.7227422762465139,0.7100556203369399,0.6579143987290244,0.6239179009536634,0.8272945117229709,0.6597021357720783,0.711802593369181
ESM2_650M,0.5508180186244499,0.58762059023904,0.6222151185253711,0.6509362670717587,0.45324030208796107,0.49966244561139633,0.702963789251716,0.7742624168926933,0.7975446622402212,1.0,0.598326725979772,0.6239729340986799,0.6253573926828536,0.6351095934159713,0.6828169415155035,0.558036813781306,0.7186763441519285,0.3063818808963706,0.6862564505861484,0.7013910946469575,0.7828844742378501,0.4745303678901632,0.6168548203629538,0.507294716751164,0.30755827223019866,0.8622326858884091,0.736117341313898,0.7657877293733586,0.5098500477980825,0.5539559932401618,0.6318758063788155,0.6543352837926179,0.6293130793571289,0.8579050702267108,0.8455578075035627,0.6335536049841609,0.6384786557170092,0.8158237665241764,0.6246207683596693,0.6498565540778241
Wavenet,0.5314527753471221,0.6027817125591945,0.6428399919280657,0.6583746112423671,0.3171177086002967,0.5439655187179202,0.7050289504806222,0.5795266023771295,0.6194822157779409,0.598326725979772,1.0,0.5846321012226917,0.6091367322290057,0.633104885333353,0.6314131042562989,0.5537376188364389,0.642960870645829,0.26009506795831416,0.6703832453879194,0.6982819899897149,0.5976243150880189,0.3954465122810461,0.5235997975945057,0.4333404542260434,0.25774146853276103,0.5933954605252894,0.5850191323224112,0.7078782400095496,0.3894527138419448,0.4456415675147515,0.6265783865586705,0.5357154442950199,0.5678743358356103,0.5908358567989319,0.5884265053903449,0.6450644444273739,0.5298862677198922,0.6093199366253347,0.5696312842873935,0.587656554862337
RITA_xl,0.4405132441757474,0.5054004696650968,0.5444288723228538,0.5632432187175461,0.3747776060733848,0.5835006952062348,0.6655976608465068,0.6447206803187328,0.6946027820203753,0.6239729340986799,0.5846321012226917,1.0,0.7983229523142746,0.6007875971841706,0.644631007300997,0.5397953589076618,0.6563358840883952,0.3013847143596718,0.7239276333438155,0.6853349928964181,0.6619407516674323,0.40953194325078596,0.5476352865431207,0.43996430341217674,0.25256307637698544,0.6061843612411901,0.5988931855121539,0.6738675800793391,0.4397608126489371,0.46584709181314393,0.5821477482504767,0.5431937202555832,0.5132391198566669,0.6022024967272444,0.5931196672332701,0.598434285849987,0.5243953166297309,0.6366012389113339,0.6340131239076525,0.7705892592693963
Progen2_xlarge,0.44739100799033166,0.5317830976095173,0.5688250505221009,0.5851600920764273,0.3253650451295357,0.604624493965317,0.6967385003772611,0.6345929462166042,0.6748562845319499,0.6253573926828536,0.6091367322290057,0.7983229523142746,1.0,0.6221553888029916,0.6796502467245233,0.5780840549328056,0.6902937519404295,0.29030473163733567,0.7429819073524034,0.7114476496531463,0.651594365720669,0.42082267116869865,0.5641378272115446,0.4557037935953141,0.26082310962755817,0.6223035837528679,0.6179812288439922,0.7006249565300612,0.42229157466540074,0.47800850652290533,0.6115547420543244,0.560902569882666,0.5246685066697384,0.6140076395129913,0.6090961041754905,0.6178130232404734,0.5483421884766925,0.6440872369477455,0.6862499170850916,0.7893981891627981
