model,cluster_order,family
Site_Independent,17,evolution
EVmutation,24,evolution
DeepSequence_ensemble,4,evolution
EVE_ensemble,28,evolution
Unirep,5,single_seq
Unirep_evotune,10,evolution
MSA_Transformer_ensemble,38,evolution
ESM1b,39,single_seq
ESM1v_ensemble,11,single_seq
ESM2_650M,12,single_seq
Wavenet,37,evolution
RITA_xl,7,single_seq
Progen2_xlarge,8,single_seq
GEMME,20,evolution
VESPA,9,single_seq
VESPAl,25,single_seq
VespaG,33,single_seq
ProtGPT2,34,single_seq
Tranception_L,26,evolution
TranceptEVE_L,36,evolution
CARP_640M,16,single_seq
MIF,14,structure
MIFST,15,hybrid
ESM-IF1,32,structure
ProteinMPNN,6,structure
ProtSSN_ensemble,27,hybrid
SaProt_650M_AF2,13,hybrid
PoET,30,evolution
MULAN_small,18,hybrid
ProSST-4096,1,hybrid
ESCOTT,2,hybrid
VenusREM,3,hybrid
RSALOR,19,hybrid
S2F,0,hybrid
S3F,35,hybrid
SiteRM,29,evolution
ESM3,31,hybrid
ESMC-600M,22,single_seq
xTrimoPGLM-100B-int4,21,single_seq
Progen3_3b,23,single_seq
