plddt_bin,model,n_variants,n_assays,median_rho_dms
pLDDT<50,MIF,42273,69,-0.03218649634322903
pLDDT<50,ESM-IF1,42273,69,-0.036592366641206
pLDDT<50,ProteinMPNN,42273,69,-0.006839280453022597
50-70,MIF,42607,111,-0.12276144907723857
50-70,ESM-IF1,42607,111,-0.11617224880382775
50-70,ProteinMPNN,42607,111,-0.0540957897937303
70-90,MIF,157897,180,-0.26265016573551603
70-90,ESM-IF1,157897,180,-0.3166558026521561
70-90,ProteinMPNN,157897,180,-0.14202686047305604
>=90,MIF,446394,199,-0.4326584276521698
>=90,ESM-IF1,446394,199,-0.47404928072924085
>=90,ProteinMPNN,446394,199,-0.22458150430306936
