model,n_assays,median_rho,mean_rho
CARP_38M,215,0.27855427719125114,0.2752702324895535
CARP_600K,215,0.07179575877801128,0.10274243106512511
CARP_640M,215,0.4265182791521281,0.3956552010087065
CARP_76M,215,0.35786660850662905,0.33289654676265673
DeepSequence_ensemble,215,0.42385620514892886,0.4069455314825424
DeepSequence_single,215,0.41035676313686076,0.39418023050856144
ESCOTT,215,0.49270661300605334,0.4767932406817826
ESM-IF1,215,0.46192063746202866,0.43651143717370355
ESM1b,215,0.4192679154109784,0.38841251888262274
ESM1v_ensemble,215,0.4407520824318853,0.40874475061945426
ESM1v_single,215,0.4081751948650348,0.38035307795701073
ESM2_150M,215,0.4418541444330806,0.3903823131098819
ESM2_15B,215,0.4289493886467482,0.41033080823501167
ESM2_35M,215,0.3243970791429607,0.3012006315755668
ESM2_3B,215,0.44639806101660606,0.4204169699940698
ESM2_650M,215,0.48805815292865645,0.428085077900382
ESM2_8M,215,0.18304640274472656,0.19906636607463643
ESM3,215,0.49132349430465744,0.48439477679894355
ESMC-300M,215,0.4621703977762925,0.4205900558591004
ESMC-600M,215,0.46476363527960207,0.4207709729573109
EVE_ensemble,215,0.45051124588136493,0.43078151402638765
EVE_single,215,0.4409086316378714,0.4250359254775621
EVmutation,215,0.3985096488762909,0.38050431820841263
GEMME,215,0.46010934278830884,0.4480939329324207
MIF,215,0.4166963740920923,0.4101449135163459
MIFST,215,0.4501291458288825,0.4315433629499007
MSA_Transformer_ensemble,215,0.4455856336907326,0.4289430268109603
MSA_Transformer_single,215,0.42727404416458825,0.41305966651542564
MULAN_small,215,0.29917828538842856,0.2921885274613092
PoET,215,0.4871504618519616,0.46943554533762627
ProSST-1024,215,0.5352368777187062,0.49347887995332557
ProSST-128,215,0.5083334634206893,0.4727153252448441
ProSST-20,215,0.4575314292471883,0.440660209372126
ProSST-2048,215,0.5311522129935426,0.5215771399004515
ProSST-4096,215,0.5431410881458953,0.506334816333554
ProSST-512,215,0.5103069350016463,0.47776500701977886
Progen2_base,215,0.4005312233391327,0.3786988363253807
Progen2_large,215,0.3837910241786271,0.37492201320880614
Progen2_medium,215,0.39471899950811223,0.3786933169943039
Progen2_small,215,0.3623395114734077,0.3345173920940324
Progen2_xlarge,215,0.39681665060013105,0.3842771111998838
Progen3_112m,215,0.26233599531467383,0.2665588015470052
Progen3_1b,215,0.3900421388772497,0.3868886769373075
Progen3_219m,215,0.32128727119477635,0.3054526990554555
Progen3_339m,215,0.36622097851983204,0.3341230694110992
Progen3_3b,215,0.3846197285559705,0.3906527796099723
Progen3_762m,215,0.36199347204627164,0.3580106452566147
ProtGPT2,215,0.17482266519939846,0.18104399799475115
ProtSSN_ensemble,215,0.4917570427752989,0.46282930325544935
ProtSSN_k10_h1280,215,0.4712972250617124,0.44455736628418635
ProtSSN_k10_h512,215,0.4737837886028632,0.4406571964144945
ProtSSN_k10_h768,215,0.45718724468956456,0.43376339930647295
ProtSSN_k20_h1280,215,0.4803349538837328,0.45360430737847723
ProtSSN_k20_h512,215,0.47945638071302105,0.45344543340995985
ProtSSN_k20_h768,215,0.489442890130184,0.45191069178381843
ProtSSN_k30_h1280,215,0.48490332037295597,0.4482995074302139
ProtSSN_k30_h512,215,0.4732481773320056,0.4490540880741769
ProtSSN_k30_h768,215,0.4772270802801557,0.4510902328159293
ProteinMPNN,215,0.22376779846659367,0.28530672359311504
RITA_l,215,0.3784116095625641,0.35591752465772464
RITA_m,215,0.3659051394852838,0.34563435833879835
RITA_s,215,0.3079472302220365,0.2934421694426761
RITA_xl,215,0.37737750412375626,0.3609861470903564
RSALOR,215,0.4873092129513241,0.47551462232283126
S2F,215,0.5056043260592508,0.4727642023077451
S2F_MSA,215,0.5158532560937743,0.4944099423299617
S3F,215,0.5079685099846392,0.4872330132790176
S3F_MSA,215,0.5224497854775924,0.5026199600870942
SaProt_35M_AF2,215,0.43684148605517714,0.4083479465259188
SaProt_650M_AF2,215,0.4905511521648059,0.46264286067658356
SiteRM,215,0.4222280497280497,0.40539591270153336
Site_Independent,215,0.35267923586483857,0.3402445595981426
TranceptEVE_L,215,0.4631965551463756,0.44874059955689893
TranceptEVE_M,215,0.4627544082415296,0.4451651372219949
TranceptEVE_S,215,0.4516434455106569,0.43954292763791647
Tranception_L,215,0.43268897311942484,0.42483116228367784
Tranception_L_no_retrieval,215,0.37255437625871163,0.3653346683741591
Tranception_M,215,0.42514799004372,0.41540252909676983
Tranception_M_no_retrieval,215,0.34355280381697667,0.3392530056785382
Tranception_S,215,0.4187637853793818,0.40219496462897114
Tranception_S_no_retrieval,215,0.2995377964621196,0.28486934678435677
Unirep,215,0.15282499812386896,0.17180655142074114
Unirep_evotune,215,0.3455476573830641,0.32344784838171153
VESPA,215,0.44971896481037,0.44288021223843343
VESPAl,215,0.4053698014510552,0.3955508413616501
VenusREM,215,0.5562673208489664,0.535585382765572
VespaG,215,0.4804787572377539,0.4622461813325128
Wavenet,215,0.3827865700929767,0.3573951656551823
xTrimoPGLM-100B-int4,215,0.35547788854640894,0.35576065884384983
xTrimoPGLM-10B-MLM,215,0.4130099143692115,0.3998849894137053
xTrimoPGLM-1B-CLM,215,0.3463972670823124,0.3264707454012609
xTrimoPGLM-1B-MLM,215,0.4010149416403871,0.3789474519395043
xTrimoPGLM-3B-CLM,215,0.2206720429202323,0.21065808412835646
xTrimoPGLM-3B-MLM,215,0.4247316596668925,0.40516650055625264
xTrimoPGLM-7B-CLM,215,0.050330737647547176,0.08114815553478662
