decile,mean,median,std,count
0,0.20061120881510713,0.1693421956077641,0.15160106025097436,69691
1,0.20258191795263916,0.17112905786395755,0.152596519884351,69594
2,0.20226729229316331,0.1696334209016518,0.15308515444405918,69563
3,0.20332275710366585,0.17015620799856623,0.15439585736401856,69605
4,0.20374104861281409,0.17041695032665694,0.1547468916137257,69617
5,0.20349664452857863,0.16977606826626895,0.15440019875664404,69534
6,0.20390581543454847,0.1709672353048024,0.1549838116430959,69582
7,0.2047845809009655,0.1714017581530439,0.15597610122469865,69586
8,0.20603375156855855,0.17335788269249452,0.1552133952539754,69574
9,0.2144155664578655,0.184526784712644,0.15592197673797797,69676
