DMS_id,UniProt_ID,n,rho,p
A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,9576,-0.016642089084824112,0.10343040933003644
A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,12577,-0.012486194234736896,0.161451211706366
A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,922,0.08285157292398931,0.011847385535753605
A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,1653,0.12343646235026218,4.802624462880868e-07
A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,10715,-0.04030896893732997,2.996618458521785e-05
A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,2350,0.028725618922786526,0.16390047317559847
A4D664_9INFA_Soh_2019,A4D664_9INFA,14421,-0.006089837069482979,0.46462249354379714
A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,5004,0.05790692487981295,4.154924733278216e-05
A4_HUMAN_Seuma_2022,A4_HUMAN,796,-0.0017186617460144848,0.9613868995402686
AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,1801,-0.06578411148929691,0.0052246576779617715
ACE2_HUMAN_Chan_2020,ACE2_HUMAN,2223,-0.0546248017754391,0.009996128629346285
ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,7800,-0.00023898449035500183,0.9831633671016166
AICDA_HUMAN_Gajula_2014_3cycles,AICDA_HUMAN,209,0.03348362164151638,0.6303040354799537
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN,820,0.01893932128940626,0.5881210452181922
AMIE_PSEAE_Wrenbeck_2017,AMIE_PSEAE,6227,0.12347449480154024,1.3854231835684858e-22
ANCSZ_Hobbs_2022,ANCSZ,4670,-0.0029824857563258366,0.8385401076394111
ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,1287,0.0954340191780181,0.000607653793952127
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,B2L11_HUMAN,170,0.2565482624068002,0.000732807578233015
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST,1084,0.04343305853132569,0.1529981211955586
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE,890,0.09966594659154158,0.0029150557626713798
BLAT_ECOLX_Deng_2012,BLAT_ECOLX,4996,0.019889732825061568,0.15983073463954917
BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX,4783,0.08708144808643994,1.6156822359146732e-09
BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX,989,0.010457853282549294,0.7425521595482222
BLAT_ECOLX_Stiffler_2015,BLAT_ECOLX,4996,0.05508765021947481,9.791126209003551e-05
BRCA1_HUMAN_Findlay_2018,BRCA1_HUMAN,1837,-0.03616299433168938,0.1212840766135978
BRCA2_HUMAN_Erwood_2022_HEK293T,BRCA2_HUMAN,265,0.06984098324714015,0.2572401884287336
C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,10754,0.0600053469331786,4.738383071024641e-10
CALM1_HUMAN_Weile_2017,CALM1_HUMAN,1813,-0.012115285583750952,0.6061869209542043
CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,532,0.05673029203848813,0.19139419928390855
CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN,2374,0.04254535095335555,0.03818957893362418
CAR11_HUMAN_Meitlis_2020_lof,CAR11_HUMAN,2395,0.041446573205085865,0.042544376535287934
