DMS_id,rho,n
A0A140D2T1_ZIKV_Sourisseau_2019,0.0004965822498238545,9576
A0A192B1T2_9HIV1_Haddox_2018,0.00826476922910081,12577
A0A1I9GEU1_NEIME_Kennouche_2019,0.06724124601012067,922
A0A247D711_LISMN_Stadelmann_2021,0.1460309349496574,1653
A0A2Z5U3Z0_9INFA_Doud_2016,-0.023002979301839924,10715
A0A2Z5U3Z0_9INFA_Wu_2014,0.04181238997216345,2350
A4D664_9INFA_Soh_2019,-0.001420470261980184,14421
A4GRB6_PSEAI_Chen_2020,0.024059826632678274,5004
A4_HUMAN_Seuma_2022,-0.006838386992351342,796
AACC1_PSEAI_Dandage_2018,-0.029245493663277538,1801
ACE2_HUMAN_Chan_2020,-0.015602323723439695,2223
ADRB2_HUMAN_Jones_2020,-0.041672620622284835,7800
AICDA_HUMAN_Gajula_2014_3cycles,0.14057258530942743,209
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.046645084496462534,820
AMIE_PSEAE_Wrenbeck_2017,0.058648649751260384,6227
ANCSZ_Hobbs_2022,-0.023231785338944332,4670
ARGR_ECOLI_Tsuboyama_2023_1AOY,0.03272719295142276,1287
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,0.20466179655831307,170
BBC1_YEAST_Tsuboyama_2023_1TG0,0.11884780095534588,1084
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.157411946580443,890
BLAT_ECOLX_Deng_2012,0.030145532220368643,4996
BLAT_ECOLX_Firnberg_2014,0.09866083357053876,4783
BLAT_ECOLX_Jacquier_2013,0.06298249622663489,989
BLAT_ECOLX_Stiffler_2015,0.0687221096491758,4996
BRCA1_HUMAN_Findlay_2018,-0.0360405181735213,1837
BRCA2_HUMAN_Erwood_2022_HEK293T,0.04461690965464368,265
C6KNH7_9INFA_Lee_2018,0.05877290347709565,10754
CALM1_HUMAN_Weile_2017,0.005146390864902442,1813
CAPSD_AAV2S_Sinai_2021,0.08366756884236003,532
CAR11_HUMAN_Meitlis_2020_gof,0.0066390676454677125,2374
CAR11_HUMAN_Meitlis_2020_lof,0.018035036042817025,2395
CAS9_STRP1_Spencer_2017_positive,-0.0012069017261329353,8117
CASP3_HUMAN_Roychowdhury_2020,-0.03621556003331218,1567
CASP7_HUMAN_Roychowdhury_2020,0.0010903249854815602,1680
CATR_CHLRE_Tsuboyama_2023_2AMI,0.08182105018367183,1340
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.15621960615697464,1357
CBS_HUMAN_Sun_2020,-0.00354344807431041,7217
CBX4_HUMAN_Tsuboyama_2023_2K28,0.0065561709965048665,917
CCDB_ECOLI_Adkar_2012,0.045677682196628926,1176
CCDB_ECOLI_Tripathi_2016,-0.022907628340182062,1663
CCR5_HUMAN_Gill_2023,-0.02520070760276837,6137
CD19_HUMAN_Klesmith_2019_FMC_singles,0.029463236079426386,3761
CP2C9_HUMAN_Amorosi_2021_abundance,0.0733717863266923,6370
CP2C9_HUMAN_Amorosi_2021_activity,0.05893665295181255,6142
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.02433899912651123,1353
CUE1_YEAST_Tsuboyama_2023_2MYX,0.12689492464444652,955
D7PM05_CLYGR_Somermeyer_2022,0.13522559778540766,1169
DLG4_HUMAN_Faure_2021,0.06667987449188129,1280
DLG4_RAT_McLaughlin_2012,0.013488810410137025,1576
DN7A_SACS2_Tsuboyama_2023_1JIC,0.2280368366384247,1008
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.12527632749523915,1216
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.04109318830058925,1213
DYR_ECOLI_Nguyen_2023,0.0014720400439761818,2916
DYR_ECOLI_Thompson_2019,-0.022611790166198197,2363
ENVZ_ECOLI_Ghose_2023,-0.040571816848547895,1121
ENV_HV1B9_DuenasDecamp_2016,-0.040562637419651756,375
ENV_HV1BR_Haddox_2016,-0.03020781166219889,12863
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.04629438018376893,1239
ERBB2_HUMAN_Elazar_2016,-0.041211598517392846,326
ESTA_BACSU_Nutschel_2020,0.04559987173176974,2172
F7YBW8_MESOW_Ding_2023,-0.09633202257562613,80
FECA_ECOLI_Tsuboyama_2023_2D1U,0.10306578882049115,1219
FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.0977609206385887,1237
GAL4_YEAST_Kitzman_2015,0.13609275605221893,1195
GDIA_HUMAN_Silverstein_2021,-0.04090509810885164,1154
GFP_AEQVI_Sarkisyan_2016,0.11157174747730697,1084
GLPA_HUMAN_Elazar_2016,-0.04217497535169191,245
GRB2_HUMAN_Faure_2021,0.007316485041552791,1034
HCP_LAMBD_Tsuboyama_2023_2L6Q,-0.009210092603307232,1040
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.03838148813050365,1244
HEM3_HUMAN_Loggerenberg_2023,-0.03294450535763603,5689
HIS7_YEAST_Pokusaeva_2019,-0.021061849251623552,168
HMDH_HUMAN_Jiang_2019,0.01567168514315075,16853
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,0.0017344086387338883,2252
HSP82_YEAST_Flynn_2019,0.013529996502825402,13294
HSP82_YEAST_Mishra_2016,-0.03548931087362419,4323
HXK4_HUMAN_Gersing_2022_activity,-0.07011615308622478,8570
HXK4_HUMAN_Gersing_2023_abundance,-0.0013938484288191554,8396
I6TAH8_I68A0_Doud_2015,-0.003445866239834008,9462
IF1_ECOLI_Kelsic_2016,-0.07367618805339265,1367
ILF3_HUMAN_Tsuboyama_2023_2L33,0.09044002633235329,1329
ISDH_STAAW_Tsuboyama_2023_2LHR,0.19312329341270215,940
KCNE1_HUMAN_Muhammad_2023_expression,0.03422871803438885,2339
