left_out,median_rho,n_assays
Site_Independent,0.0321685959830216,215
EVmutation,0.03275797444541505,215
DeepSequence_ensemble,0.03193118438401736,215
EVE_ensemble,0.030588039870518578,215
Unirep,0.0351182100874375,215
Unirep_evotune,0.03326448783165312,215
MSA_Transformer_ensemble,0.03215935102109923,215
ESM1b,0.03191727081199978,215
ESM1v_ensemble,0.030462220472969998,215
ESM2_650M,0.032470521786854646,215
Wavenet,0.03221951435122158,215
RITA_xl,0.028804549483546504,215
Progen2_xlarge,0.030683118743193925,215
GEMME,0.03118906165360088,215
VESPA,0.031130985106930135,215
VESPAl,0.031290541198574676,215
VespaG,0.031326170400522484,215
ProtGPT2,0.03906100535171573,215
Tranception_L,0.031120308187980558,215
TranceptEVE_L,0.03274131798314444,215
CARP_640M,0.030127697731370414,215
MIF,0.027115890689734527,215
MIFST,0.031905486598755514,215
ESM-IF1,0.03007730606653636,215
ProteinMPNN,0.03089903709857647,215
ProtSSN_ensemble,0.03366292215197244,215
SaProt_650M_AF2,0.03183440197821827,215
PoET,0.032529006844039324,215
MULAN_small,0.03317340045360117,215
ProSST-4096,0.02859867310929682,215
ESCOTT,0.033130813630559405,215
VenusREM,0.028041303222283764,215
RSALOR,0.030197420132859663,215
S2F,0.03247804826752195,215
S3F,0.032963323754599,215
SiteRM,0.030525896871005997,215
ESM3,0.031041327093958675,215
ESMC-600M,0.030378266114061313,215
xTrimoPGLM-100B-int4,0.033167665667665665,215
Progen3_3b,0.031801617945891696,215
