family,annotation,in_annotation,n,median_adv,frac_pos
seq,active_site,True,755,0.051112352022482904,0.65
seq,active_site,False,695556,0.010051483175948905,0.6881720430107527
seq,binding_site,True,10395,0.015002233817712964,0.6521739130434783
seq,binding_site,False,685916,0.01011694900321377,0.6774193548387096
seq,domain,True,174195,0.00819502428782292,0.6375
seq,domain,False,522116,0.01174427854597851,0.6951219512195121
seq,transmembrane,True,32214,0.016772086804484387,0.8695652173913043
seq,transmembrane,False,664097,0.008674234045690787,0.6775956284153005
evo,active_site,True,755,0.07719281230705449,0.75
evo,active_site,False,695556,0.003705871437303946,0.5591397849462365
evo,binding_site,True,10395,0.018907880308950936,0.7608695652173914
evo,binding_site,False,685916,0.0031250242919495866,0.5591397849462365
evo,domain,True,174195,0.0028068414553695242,0.525
evo,domain,False,522116,0.002806385400739679,0.5792682926829268
evo,transmembrane,True,32214,0.01112876132047906,0.6956521739130435
evo,transmembrane,False,664097,0.003309852118305326,0.546448087431694
struct,active_site,True,755,-0.131202333861358,0.25
struct,active_site,False,695556,-0.0028346710141694195,0.46236559139784944
struct,binding_site,True,10395,-0.023642017620861634,0.34782608695652173
struct,binding_site,False,685916,-0.0029082116602459837,0.4731182795698925
struct,domain,True,174195,0.0030130467136567085,0.55
struct,domain,False,522116,-0.0052037620199000025,0.42073170731707316
struct,transmembrane,True,32214,-0.014075921227216626,0.17391304347826086
struct,transmembrane,False,664097,-0.0019454762727481312,0.4644808743169399
