family,plddt_bin,n,median_adv,frac_pos
seq,pLDDT<50,42273,0.01933464909023818,0.8048780487804879
seq,50-70,42607,0.021966980706504415,0.7536231884057971
seq,70-90,157897,0.01136833629595746,0.7005649717514124
seq,>=90,446394,0.007885653541536447,0.6666666666666666
evo,pLDDT<50,42273,0.0024055402701649714,0.5365853658536586
evo,50-70,42607,0.0034065972083054813,0.5434782608695652
evo,70-90,157897,0.0032844387755100873,0.576271186440678
evo,>=90,446394,0.0054939103245636445,0.5977011494252874
struct,pLDDT<50,42273,-0.0062652656200496565,0.45121951219512196
struct,50-70,42607,-0.006728197416972906,0.4420289855072464
struct,70-90,157897,-0.002859713386029153,0.4689265536723164
struct,>=90,446394,-0.002249948831233084,0.47701149425287354
