UniProt_ID,fold,n,n_regimes,rho_train_profile,frac_assigned_dissenting,dissenting_Y
A0A140D2T1_ZIKV,0,9576,6,0.8285714285714287,0.10098162071846283,0.5289264828738514
A4D664_9INFA,0,14421,6,1.0,0.09749670619235837,0.6421884751404202
BBC1_YEAST,0,1084,6,0.7142857142857143,0.10793357933579335,0.34317343173431736
CAS9_STRP1,0,8117,6,0.942857142857143,0.10964642109153629,0.6082912406061354
CASP7_HUMAN,0,1680,6,0.942857142857143,0.08214285714285714,0.7589285714285714
CBPA2_HUMAN,0,1357,6,0.6,0.05379513633014001,0.27118644067796616
CCDB_ECOLI,0,2839,6,0.8451542547285166,0.09545614653046848,0.4413265306122449
D7PM05_CLYGR,0,1169,6,1.0,0.036783575705731396,0.6638152266894781
ENVZ_ECOLI,0,1121,6,0.6571428571428573,0.1311329170383586,0.5575379125780553
ERBB2_HUMAN,0,326,6,0.942857142857143,0.1656441717791411,0.7377300613496932
FKBP3_HUMAN,0,1237,6,0.6571428571428573,0.07275666936135812,0.301535974130962
IF1_ECOLI,0,1367,6,0.942857142857143,0.08558888076079005,0.7168983174835406
ISDH_STAAW,0,940,6,0.7142857142857143,0.07021276595744681,0.4074468085106383
KCNE1_HUMAN,0,4654,6,1.0,0.1274172754619682,0.7473279179136383
KCNH2_HUMAN,0,200,6,0.8285714285714287,0.12,0.8325
LGK_LIPST,0,7890,6,1.0,0.11939163498098859,0.6671102661596958
MLAC_ECOLI,0,4007,6,0.8857142857142858,0.12403294235088595,0.7831295233341652
OBSCN_HUMAN,0,1213,6,1.0,0.05028854080791426,0.7394888705688376
OTC_HUMAN,0,1570,6,0.942857142857143,0.12802547770700637,0.5439490445859873
OTU7A_HUMAN,0,635,6,0.6571428571428573,0.04251968503937008,0.37165354330708666
P53_HUMAN,0,23449,6,0.7714285714285715,0.10836282997142735,0.6580956207312174
PAI1_HUMAN,0,5345,6,1.0,0.1038353601496726,0.6688493919550982
PA_I34A1,0,1820,6,1.0,0.07857142857142857,0.7324175824175825
PKN1_HUMAN,0,1301,6,0.7142857142857143,0.12067640276710223,0.3996925441967717
Q2N0S5_9HIV1,0,12729,6,1.0,0.14785136302930316,0.6347317149815382
Q53Z42_HUMAN,0,6688,6,1.0,0.12888755980861244,0.6404007177033493
Q59976_STRSQ,0,2999,6,1.0,0.1183727909303101,0.7710903634544848
RAD_ANTMA,0,774,6,0.7142857142857143,0.12661498708010335,0.4812661498708011
RDRP_I33A0,0,12003,6,1.0,0.10414063150878947,0.6738315421144714
RFAH_ECOLI,0,969,6,0.7142857142857143,0.09391124871001032,0.4231166150670794
SAV1_MOUSE,0,679,6,0.8857142857142858,0.10603829160530191,0.6597938144329897
SBI_STAAM,0,1025,6,0.8857142857142858,0.0721951219512195,0.47853658536585364
SCN5A_HUMAN,0,224,6,0.48571428571428577,0.22321428571428573,0.5736607142857143
SPTN1_CHICK,0,1051,6,0.942857142857143,0.08848715509039011,0.48334919124643194
TADBP_HUMAN,0,1196,6,0.2571428571428572,0.12374581939799331,0.22324414715719065
UBE4B_MOUSE,0,899,6,1.0,0.14238042269187987,0.7825361512791991
VG08_BPP22,0,723,6,1.0,0.027662517289073305,
A0A2Z5U3Z0_9INFA,1,13065,6,0.942857142857143,0.1107539226942212,0.6166122258516099
AMFR_HUMAN,1,820,6,0.8857142857142858,0.0951219512195122,0.47560975609756095
BRCA1_HUMAN,1,1837,6,1.0,0.13990201415351117,0.718562874251497
