family,context,context_type,n,median_adv,frac_pos
seq,core,burial,241879,0.00678427082383698,0.6408839779005525
seq,surface,burial,207201,0.009608688082179871,0.6759776536312849
seq,helix,ss3,268957,0.007968901846452825,0.6629834254143646
seq,sheet,ss3,128290,0.007714264897075357,0.6153846153846154
seq,loop,ss3,291924,0.012684240362811794,0.6906077348066298
evo,core,burial,241879,0.00582543443917849,0.6353591160220995
evo,surface,burial,207201,-0.004293764062365951,0.4245810055865922
evo,helix,ss3,268957,0.0028762170351724903,0.5469613259668509
evo,sheet,ss3,128290,0.00835187520606331,0.6692307692307692
evo,loop,ss3,291924,0.0016990386888344061,0.5248618784530387
struct,core,burial,241879,-0.0025656323039476014,0.47513812154696133
struct,surface,burial,207201,0.0026772694130515057,0.5418994413407822
struct,helix,ss3,268957,-0.001858063667455806,0.47513812154696133
struct,sheet,ss3,128290,-0.006829695016524612,0.4307692307692308
struct,loop,ss3,291924,-0.0025618665833679888,0.4585635359116022
