assay,model_a,model_b,spearman
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,EVmutation,0.9080202014194927
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,DeepSequence_ensemble,0.28557000996226617
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,EVE_ensemble,0.8562818975661418
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Unirep,-0.04006741723416022
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Unirep_evotune,0.217341015811501
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,MSA_Transformer_ensemble,0.7349836590615398
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESM1b,0.2951063683639556
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESM1v_ensemble,0.3156820015813669
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESM2_650M,0.4623752885518837
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Wavenet,0.40015003674158517
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,RITA_xl,0.47470399578983524
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Progen2_xlarge,0.4854069629858604
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,GEMME,0.8022592388375981
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,VESPA,0.5718344806474426
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,VESPAl,0.45300108079581425
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,VespaG,0.6120640516750048
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ProtGPT2,0.10439646694865794
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Tranception_L,0.7727803693379358
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,TranceptEVE_L,0.7684968858233128
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,CARP_640M,0.39976538626808505
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,MIF,0.38495250922759305
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,MIFST,0.461221291997309
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESM-IF1,0.38850260162122263
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ProteinMPNN,0.19274911125751074
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ProtSSN_ensemble,0.5000414014532043
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,SaProt_650M_AF2,0.39102861923205046
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,PoET,0.6984882303909127
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,MULAN_small,0.22518015538759384
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ProSST-4096,0.2565291575651483
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESCOTT,0.7633705952550174
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,VenusREM,0.5412165225599884
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,RSALOR,0.6976961809217284
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,S2F,0.4928780898880554
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,S3F,0.49754965882474583
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,SiteRM,0.8253454984661582
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESM3,0.39024441191292525
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,ESMC-600M,0.224857940454125
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,xTrimoPGLM-100B-int4,0.532621287184041
A0A140D2T1_ZIKV_Sourisseau_2019,Site_Independent,Progen3_3b,0.5038072953982312
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,DeepSequence_ensemble,0.45429272743792065
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,EVE_ensemble,0.907016479830758
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,Unirep,-0.045295265861041
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,Unirep_evotune,0.20975534730543988
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,MSA_Transformer_ensemble,0.6863339590294575
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,ESM1b,0.2732083839440749
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,ESM1v_ensemble,0.3054052835726026
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,ESM2_650M,0.42348824527746814
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,Wavenet,0.4057439108159134
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,RITA_xl,0.4724540018044264
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,Progen2_xlarge,0.4925158706996774
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,GEMME,0.7826828454506091
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,VESPA,0.5590500075889769
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,VESPAl,0.43807715650654605
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,VespaG,0.5675994236804918
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,ProtGPT2,0.09477438591217566
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,Tranception_L,0.745316357330271
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,TranceptEVE_L,0.7967767633069562
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,CARP_640M,0.3841311065326098
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,MIF,0.36326065844355476
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,MIFST,0.43349725898780106
A0A140D2T1_ZIKV_Sourisseau_2019,EVmutation,ESM-IF1,0.37119122556746986
