UniProt_ID,assay_a,assay_b,n_regimes_shared,rho_regime_Y,consensus_damaging_both,consensus_tolerant_both,structure_dissenting_damaging_both
A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA_Wu_2014,6,1.0,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Firnberg_2014,6,1.0,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Jacquier_2013,6,0.9856107606091623,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Stiffler_2015,6,1.0,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX_Jacquier_2013,6,0.9856107606091623,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX_Stiffler_2015,6,1.0,True,True,True
BLAT_ECOLX,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX_Stiffler_2015,6,0.9856107606091624,True,True,True
CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN_Meitlis_2020_lof,6,0.942857142857143,True,True,True
CCDB_ECOLI,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI_Tripathi_2016,6,0.6546536707079772,True,True,False
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN_Amorosi_2021_activity,6,0.942857142857143,True,True,True
DYR_ECOLI,DYR_ECOLI_Nguyen_2023,DYR_ECOLI_Thompson_2019,6,0.942857142857143,True,True,True
HSP82_YEAST,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Flynn_2019,6,0.942857142857143,True,True,True
HSP82_YEAST,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Mishra_2016,6,0.942857142857143,True,True,True
HSP82_YEAST,HSP82_YEAST_Flynn_2019,HSP82_YEAST_Mishra_2016,6,1.0,True,True,True
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN_Gersing_2023_abundance,6,0.8857142857142858,True,True,True
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN_Muhammad_2023_function,6,0.942857142857143,True,True,True
KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,6,0.942857142857143,True,True,True
OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO_Vanella_2023_expression,6,0.8857142857142858,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_Null_Nutlin,6,0.942857142857143,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_WT_Nutlin,6,1.0,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Kotler_2018,6,0.7714285714285715,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN_Giacomelli_2018_WT_Nutlin,6,0.942857142857143,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN_Kotler_2018,6,0.8285714285714287,True,True,True
P53_HUMAN,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN_Kotler_2018,6,0.7714285714285715,True,True,True
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN_Mighell_2018,6,0.8857142857142858,True,True,True
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN_McShan_2019_expression,6,0.8857142857142858,True,True,True
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN_Weng_2022_binding-DARPin_K55,6,0.6,True,True,False
RL40A_YEAST,RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2013,6,0.942857142857143,True,True,True
RL40A_YEAST,RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2014,6,0.8285714285714287,True,True,True
RL40A_YEAST,RL40A_YEAST_Roscoe_2013,RL40A_YEAST_Roscoe_2014,6,0.942857142857143,True,True,True
RPC1_LAMBD,RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD_Li_2019_low-expression,5,0.9999999999999999,True,True,True
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN_Yee_2023_activity,6,1.0,True,True,True
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2_Starr_2020_expression,6,0.942857142857143,True,True,False
SRC_HUMAN,SRC_HUMAN_Ahler_2019,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,6,0.942857142857143,True,True,True
SRC_HUMAN,SRC_HUMAN_Ahler_2019,SRC_HUMAN_Nguyen_2022,6,0.942857142857143,True,True,True
SRC_HUMAN,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN_Nguyen_2022,6,1.0,True,True,True
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN_Chiasson_2020_activity,6,0.8857142857142858,True,True,True
