model_name,model_family,n_assays_with_scores,median_variant_coverage_among_scored,missing_rate
Tranception_L,evolution,217,1.0,0.0
GEMME,evolution,217,1.0,0.0
Tranception_S,evolution,217,1.0,0.0
Tranception_M,evolution,217,1.0,0.0
PoET,evolution,217,1.0,0.0
TranceptEVE_S,evolution,217,1.0,0.0
MSA_Transformer_ensemble,evolution,217,1.0,0.0
MSA_Transformer_single,evolution,217,1.0,0.0
TranceptEVE_M,evolution,217,1.0,0.0
Unirep_evotune,evolution,217,1.0,0.0
EVE_single,evolution,217,1.0,0.0
DeepSequence_ensemble,evolution,217,1.0,0.0
DeepSequence_single,evolution,217,1.0,0.0
EVmutation,evolution,217,1.0,0.0
Site_Independent,evolution,217,1.0,0.0
SiteRM,evolution,217,1.0,0.0
TranceptEVE_L,evolution,217,1.0,0.0
EVE_ensemble,evolution,217,1.0,0.0
Wavenet,evolution,217,1.0,0.0
ProtSSN_k30_h512,hybrid,217,1.0,0.0
ProtSSN_k30_h1280,hybrid,217,1.0,0.0
ProtSSN_k30_h768,hybrid,217,1.0,0.0
ProSST-512,hybrid,217,1.0,0.0
ProtSSN_k20_h768,hybrid,217,1.0,0.0
ProtSSN_k20_h512,hybrid,217,1.0,0.0
ProtSSN_k10_h1280,hybrid,217,1.0,0.0
ProtSSN_k10_h768,hybrid,217,1.0,0.0
ProtSSN_k20_h1280,hybrid,217,1.0,0.0
ProtSSN_ensemble,hybrid,217,1.0,0.0
MIFST,hybrid,217,1.0,0.0
SaProt_35M_AF2,hybrid,217,1.0,0.0
ESM3,hybrid,217,1.0,0.0
S3F_MSA,hybrid,217,1.0,0.0
S3F,hybrid,217,1.0,0.0
S2F_MSA,hybrid,217,1.0,0.0
S2F,hybrid,217,1.0,0.0
RSALOR,hybrid,217,1.0,0.0
VenusREM,hybrid,217,1.0,0.0
ESCOTT,hybrid,217,1.0,0.0
ProSST-4096,hybrid,217,1.0,0.0
ProSST-2048,hybrid,217,1.0,0.0
ProSST-1024,hybrid,217,1.0,0.0
ProtSSN_k10_h512,hybrid,217,1.0,0.0
ProSST-128,hybrid,217,1.0,0.0
ProSST-20,hybrid,217,1.0,0.0
MULAN_small,hybrid,217,1.0,0.0
SaProt_650M_AF2,hybrid,217,1.0,0.0
mutated_sequence,other,217,1.0,0.0
DMS_bin_score,other,1,1.0,0.9953917050691244
DMS_score_bin,other,217,1.0,0.0
DMS_score,other,217,1.0,0.0
Progen3_3b,single_seq,217,1.0,0.0
ESM2_8M,single_seq,217,1.0,0.0
ESM1v_ensemble,single_seq,217,1.0,0.0
ESM1v_single,single_seq,217,1.0,0.0
ESM1b,single_seq,217,1.0,0.0
Unirep,single_seq,217,1.0,0.0
ESMC-300M,single_seq,217,1.0,0.0
ESMC-600M,single_seq,217,1.0,0.0
xTrimoPGLM-1B-MLM,single_seq,217,1.0,0.0
xTrimoPGLM-3B-MLM,single_seq,217,1.0,0.0
xTrimoPGLM-10B-MLM,single_seq,217,1.0,0.0
xTrimoPGLM-1B-CLM,single_seq,217,1.0,0.0
xTrimoPGLM-3B-CLM,single_seq,217,1.0,0.0
xTrimoPGLM-7B-CLM,single_seq,217,1.0,0.0
xTrimoPGLM-100B-int4,single_seq,217,1.0,0.0
Progen3_112m,single_seq,217,1.0,0.0
Progen3_219m,single_seq,217,1.0,0.0
Progen3_339m,single_seq,217,1.0,0.0
Progen3_762m,single_seq,217,1.0,0.0
Progen3_1b,single_seq,217,1.0,0.0
ESM2_35M,single_seq,217,1.0,0.0
ESM2_150M,single_seq,217,1.0,0.0
ESM2_650M,single_seq,217,1.0,0.0
ESM2_3B,single_seq,217,1.0,0.0
CARP_600K,single_seq,217,1.0,0.0
CARP_38M,single_seq,217,1.0,0.0
Tranception_L_no_retrieval,single_seq,217,1.0,0.0
Tranception_M_no_retrieval,single_seq,217,1.0,0.0
Tranception_S_no_retrieval,single_seq,217,1.0,0.0
ProtGPT2,single_seq,217,1.0,0.0
VespaG,single_seq,217,1.0,0.0
CARP_640M,single_seq,217,1.0,0.0
VESPA,single_seq,217,1.0,0.0
VESPAl,single_seq,217,1.0,0.0
Progen2_large,single_seq,217,1.0,0.0
Progen2_base,single_seq,217,1.0,0.0
Progen2_medium,single_seq,217,1.0,0.0
Progen2_small,single_seq,217,1.0,0.0
RITA_xl,single_seq,217,1.0,0.0
RITA_l,single_seq,217,1.0,0.0
RITA_m,single_seq,217,1.0,0.0
RITA_s,single_seq,217,1.0,0.0
ESM2_15B,single_seq,217,1.0,0.0
Progen2_xlarge,single_seq,217,1.0,0.0
CARP_76M,single_seq,217,1.0,0.0
ProteinMPNN,structure,217,1.0,0.0
ESM-IF1,structure,217,1.0,0.0
MIF,structure,217,1.0,0.0
