model,family,n_assays_scored,n_assays_good_coverage,frac_good,panel
Site_Independent,evolution,217,217,1.0,core
EVmutation,evolution,217,217,1.0,core
DeepSequence_ensemble,evolution,217,217,1.0,core
EVE_ensemble,evolution,217,217,1.0,core
Unirep,single_seq,217,217,1.0,core
Unirep_evotune,evolution,217,217,1.0,core
MSA_Transformer_ensemble,evolution,217,217,1.0,core
ESM1b,single_seq,217,217,1.0,core
ESM1v_ensemble,single_seq,217,217,1.0,core
ESM2_650M,single_seq,217,217,1.0,core
Wavenet,evolution,217,217,1.0,core
RITA_xl,single_seq,217,217,1.0,core
Progen2_xlarge,single_seq,217,217,1.0,core
GEMME,evolution,217,217,1.0,core
VESPA,single_seq,217,217,1.0,core
VESPAl,single_seq,217,217,1.0,core
VespaG,single_seq,217,217,1.0,core
ProtGPT2,single_seq,217,217,1.0,core
Tranception_L,evolution,217,217,1.0,core
TranceptEVE_L,evolution,217,217,1.0,core
CARP_640M,single_seq,217,217,1.0,core
MIF,structure,217,217,1.0,core
MIFST,hybrid,217,217,1.0,core
ESM-IF1,structure,217,217,1.0,core
ProteinMPNN,structure,217,217,1.0,core
ProtSSN_ensemble,hybrid,217,217,1.0,core
SaProt_650M_AF2,hybrid,217,217,1.0,core
PoET,evolution,217,217,1.0,core
MULAN_small,hybrid,217,217,1.0,core
ProSST-4096,hybrid,217,217,1.0,core
ESCOTT,hybrid,217,217,1.0,core
VenusREM,hybrid,217,217,1.0,core
RSALOR,hybrid,217,217,1.0,core
S2F,hybrid,217,217,1.0,core
S3F,hybrid,217,217,1.0,core
SiteRM,evolution,217,217,1.0,core
ESM3,hybrid,217,217,1.0,core
ESMC-600M,single_seq,217,217,1.0,core
xTrimoPGLM-100B-int4,single_seq,217,217,1.0,core
Progen3_3b,single_seq,217,217,1.0,core
DeepSequence_single,evolution,217,217,1.0,extended
EVE_single,evolution,217,217,1.0,extended
MSA_Transformer_single,evolution,217,217,1.0,extended
ESM1v_single,single_seq,217,217,1.0,extended
ESM2_8M,single_seq,217,217,1.0,extended
ESM2_35M,single_seq,217,217,1.0,extended
ESM2_150M,single_seq,217,217,1.0,extended
ESM2_3B,single_seq,217,217,1.0,extended
ESM2_15B,single_seq,217,217,1.0,extended
RITA_s,single_seq,217,217,1.0,extended
RITA_m,single_seq,217,217,1.0,extended
RITA_l,single_seq,217,217,1.0,extended
Progen2_small,single_seq,217,217,1.0,extended
Progen2_medium,single_seq,217,217,1.0,extended
Progen2_base,single_seq,217,217,1.0,extended
Progen2_large,single_seq,217,217,1.0,extended
Tranception_S_no_retrieval,single_seq,217,217,1.0,extended
Tranception_M_no_retrieval,single_seq,217,217,1.0,extended
Tranception_L_no_retrieval,single_seq,217,217,1.0,extended
Tranception_S,evolution,217,217,1.0,extended
Tranception_M,evolution,217,217,1.0,extended
TranceptEVE_S,evolution,217,217,1.0,extended
TranceptEVE_M,evolution,217,217,1.0,extended
CARP_38M,single_seq,217,217,1.0,extended
CARP_600K,single_seq,217,217,1.0,extended
CARP_76M,single_seq,217,217,1.0,extended
ProtSSN_k10_h512,hybrid,217,217,1.0,extended
ProtSSN_k10_h768,hybrid,217,217,1.0,extended
ProtSSN_k10_h1280,hybrid,217,217,1.0,extended
ProtSSN_k20_h512,hybrid,217,217,1.0,extended
ProtSSN_k20_h768,hybrid,217,217,1.0,extended
ProtSSN_k20_h1280,hybrid,217,217,1.0,extended
ProtSSN_k30_h512,hybrid,217,217,1.0,extended
ProtSSN_k30_h768,hybrid,217,217,1.0,extended
ProtSSN_k30_h1280,hybrid,217,217,1.0,extended
SaProt_35M_AF2,hybrid,217,217,1.0,extended
ProSST-20,hybrid,217,217,1.0,extended
ProSST-128,hybrid,217,217,1.0,extended
ProSST-512,hybrid,217,217,1.0,extended
ProSST-1024,hybrid,217,217,1.0,extended
ProSST-2048,hybrid,217,217,1.0,extended
S2F_MSA,hybrid,217,217,1.0,extended
S3F_MSA,hybrid,217,217,1.0,extended
ESMC-300M,single_seq,217,217,1.0,extended
xTrimoPGLM-1B-MLM,single_seq,217,217,1.0,extended
xTrimoPGLM-3B-MLM,single_seq,217,217,1.0,extended
xTrimoPGLM-10B-MLM,single_seq,217,217,1.0,extended
xTrimoPGLM-1B-CLM,single_seq,217,217,1.0,extended
xTrimoPGLM-3B-CLM,single_seq,217,217,1.0,extended
xTrimoPGLM-7B-CLM,single_seq,217,217,1.0,extended
Progen3_112m,single_seq,217,217,1.0,extended
Progen3_219m,single_seq,217,217,1.0,extended
Progen3_339m,single_seq,217,217,1.0,extended
Progen3_762m,single_seq,217,217,1.0,extended
Progen3_1b,single_seq,217,217,1.0,extended
