DMS_id,best_target,max_pident,qcov_pct,evalue,bitscore,uniform_auroc
NP_000007.1,,0.0,0.0,,0.0,0.4764705882352941
NP_000008.1,,0.0,0.0,,0.0,0.9500000000000001
NP_000009.1,,0.0,0.0,,0.0,0.9806763285024155
NP_000010.1,,0.0,0.0,,0.0,1.0
NP_000011.2,RAF1_HUMAN_Zinkus-Boltz_2019,36.92307692307692,42.54473161033797,4.537290501821061e-19,61.6949577331543,0.9293548387096775
NP_000012.1,,0.0,0.0,,0.0,0.75
NP_000013.2,,0.0,0.0,,0.0,0.9950738916256159
NP_000014.1,,0.0,0.0,,0.0,1.0
NP_000017.1,,0.0,0.0,,0.0,0.89
NP_000018.2,,0.0,0.0,,0.0,1.0
NP_000021.1,,0.0,0.0,,0.0,0.9545454545454546
NP_000022.3,,0.0,0.0,,0.0,
NP_000023.2,,0.0,0.0,,0.0,0.9272727272727272
NP_000024.2,Q837P4_ENTFA_Meier_2023,25.308641975308642,21.879194630872483,8.369846173655977e-11,34.318214416503906,0.9703325774754347
NP_000026.2,,0.0,0.0,,0.0,0.8571428571428572
NP_000028.3,,0.0,0.0,,0.0,0.9375
NP_000030.1,,0.0,0.0,,0.0,
NP_000032.1,,0.0,0.0,,0.0,
NP_000034.1,,0.0,0.0,,0.0,1.0
NP_000035.2,PPARG_HUMAN_Majithia_2016,20.915032679738562,17.282608695652176,3.712986332143535e-05,15.58761978149414,0.9162371134020618
NP_000036.2,,0.0,0.0,,0.0,0.8846153846153846
NP_000037.2,,0.0,0.0,,0.0,0.8961748633879781
NP_000038.2,,0.0,0.0,,0.0,0.8598484848484848
NP_000039.2,,0.0,0.0,,0.0,0.9663461538461539
NP_000040.1,,0.0,0.0,,0.0,0.9575289575289575
NP_000041.2,,0.0,0.0,,0.0,0.9802631578947368
NP_000043.4,,0.0,0.0,,0.0,0.9737617924528302
NP_000044.2,,0.0,0.0,,0.0,0.9294499105545617
NP_000045.1,ADRB2_HUMAN_Jones_2020,23.452768729641694,84.63611859838275,1.4160798610151238e-10,34.420501708984375,0.9909090909090909
NP_000046.1,,0.0,0.0,,0.0,
NP_000048.1,,0.0,0.0,,0.0,1.0
NP_000052.1,SRC_HUMAN_Ahler_2019,39.1705069124424,67.07132018209408,1.3565318037418997e-103,340.9777526855469,0.9966832504145937
NP_000053.2,PAI1_HUMAN_Huttinger_2021,26.704545454545453,71.2,9.354100952064764e-29,94.2562026977539,0.9924242424242424
NP_000055.2,,0.0,0.0,,0.0,0.8928571428571429
NP_000058.1,,0.0,0.0,,0.0,
NP_000060.2,SCN5A_HUMAN_Glazer_2019,34.19847328244275,36.78590496529632,1.2906734921648919e-91,301.0185546875,0.9362399193548387
NP_000061.1,CALM1_HUMAN_Weile_2017,32.95454545454545,10.71863580998782,5.061993218316514e-07,21.885589599609375,0.9295774647887324
NP_000062.1,CBS_HUMAN_Sun_2020,100.0,100.0,0.0,1264.4144287109375,0.9913793103448276
NP_000065.1,,0.0,0.0,,0.0,1.0
NP_000066.1,MK01_HUMAN_Brenan_2016,37.102473498233216,96.69966996699671,1.4366902858571078e-47,156.0584259033203,
NP_000067.1,,0.0,0.0,,0.0,1.0
NP_000068.1,,0.0,0.0,,0.0,1.0
NP_000070.1,,0.0,0.0,,0.0,1.0
NP_000071.1,,0.0,0.0,,0.0,0.9917582417582418
NP_000073.1,,0.0,0.0,,0.0,
NP_000074.3,,0.0,0.0,,0.0,0.9799107142857143
NP_000076.2,,0.0,0.0,,0.0,1.0
NP_000078.3,KCNH2_HUMAN_Kozek_2020,26.631853785900784,56.99708454810496,2.2894407975425422e-41,135.60353088378906,0.9428571428571428
NP_000079.2,,0.0,0.0,,0.0,0.9834889486733133
NP_000080.2,,0.0,0.0,,0.0,0.9960424536787192
NP_000081.2,,0.0,0.0,,0.0,0.9978636628471547
NP_000082.2,,0.0,0.0,,0.0,0.9969991173874668
NP_000083.3,,0.0,0.0,,0.0,0.9908333333333335
NP_000084.3,,0.0,0.0,,0.0,0.965523598820059
NP_000086.2,,0.0,0.0,,0.0,0.9405940594059405
NP_000087.2,,0.0,0.0,,0.0,1.0
NP_000088.3,,0.0,0.0,,0.0,1.0
NP_000089.1,,0.0,0.0,,0.0,0.8720238095238095
NP_000092.2,,0.0,0.0,,0.0,
NP_000093.1,CP2C9_HUMAN_Amorosi_2021_abundance,30.474040632054177,89.96062992125984,2.61275131102933e-61,201.40695190429688,1.0
NP_000095.2,CP2C9_HUMAN_Amorosi_2021_abundance,34.588235294117645,81.58379373848987,2.9469569219513862e-75,247.3125,0.9920634920634921
NP_000099.2,,0.0,0.0,,0.0,1.0
NP_000101.2,,0.0,0.0,,0.0,
NP_000102.1,,0.0,0.0,,0.0,1.0
NP_000103.2,,0.0,0.0,,0.0,0.9362745098039217
NP_000104.1,,0.0,0.0,,0.0,
NP_000107.1,,0.0,0.0,,0.0,1.0
