UniProt_ID,n_residues,dD_evo_struct_decile,dD_std_decile,cohens_d,enrich_OR,n_low_hi,n_low_other,n_other_hi,n_other_other
A0A140D2T1_ZIKV,214,-0.048738812918619034,0.032347483631277374,-0.1517494981021679,0.9666666666666667,2,18,20,174
A0A192B1T2_9HIV1,662,0.4755715877530715,0.044569088089528974,1.3161705255366054,3.076923076923077,15,51,52,544
A0A1I9GEU1_NEIME,161,-0.5044295792580822,-0.06655813504869723,-1.0599421348337315,0.5375,1,15,16,129
A0A247D711_LISMN,87,0.1880373643656449,-0.058857757130617694,0.7502046226419976,1.2678571428571428,1,7,8,71
A0A2Z5U3Z0_9INFA,564,0.23460971347017778,0.05426654873104719,0.6030889636196908,2.455072463768116,11,45,46,462
A4D664_9INFA,759,0.007146200544958514,0.0303393310574801,0.01846397371302167,1.2557666214382632,9,66,67,617
A4GRB6_PSEAI,266,0.06530669232907083,0.12269580878594871,0.25890842660648766,0.7166666666666667,2,24,25,215
AACC1_PSEAI,161,-0.33080152811851027,0.0811779731293274,-0.9889088057282447,0.5375,1,15,16,129
ACE2_HUMAN,117,0.1944550688708987,0.07398867154096089,0.6424218756992007,,0,11,12,94
ADRB2_HUMAN,412,-0.009126992580602178,0.013015151288331195,-0.03178777022502351,0.6720647773279352,3,38,39,332
AMIE_PSEAE,341,0.16073282760163132,0.13018830767484568,0.4053037257406306,2.482142857142857,7,28,28,278
ANCSZ,274,0.07090467916542148,-0.012107366178100043,0.2475332987099379,3.7666666666666666,7,20,21,226
ARGR_ECOLI,69,0.14305313297685895,0.19168269889731138,0.20730767244089132,5.8,2,4,5,58
BBC1_YEAST,64,-0.09838303558794503,0.2340911634761873,-0.29064998789878843,1.7333333333333334,1,5,6,52
BCHB_CHLTE,52,-0.04938630590627502,0.1857610209334628,-0.11165654814309323,,0,5,6,41
BLAT_ECOLX,263,-0.11166059189824362,0.10475138835070708,-0.4833215288611364,1.1576086956521738,3,23,24,213
BRCA1_HUMAN,326,-0.044049357817159795,-0.010312580434124419,-0.12143802608712187,1.3054187192118227,4,28,29,265
BRCA2_HUMAN,53,0.5094964965960825,-0.0809044803219271,0.9493022080518451,2.15,1,4,5,43
C6KNH7_9INFA,566,0.12544318665006016,0.04372851259543875,0.31066592333093995,2.8181818181818183,12,44,45,465
CALM1_HUMAN,148,0.027811816750027696,0.05989020852649407,0.11404605048094,1.5512820512820513,2,12,13,121
CAR11_HUMAN,141,0.042309708910810206,-0.015996109521177138,0.14298607662076993,2.6136363636363638,3,11,12,115
CAS9_STRP1,1368,0.0024990424959973057,-0.009400048392931959,0.007786724218373466,0.5343992248062015,8,128,129,1103
CASP3_HUMAN,257,0.3211841252373202,-0.045623810078644744,1.2516245481522716,3.3473684210526318,6,19,20,212
CASP7_HUMAN,280,0.04803453681885228,-0.007038244747304967,0.19081870225860642,1.5133333333333334,4,24,25,227
CATR_CHLRE,72,0.0677786815596152,0.47587677829005903,0.17979858627698866,3.933333333333333,2,5,6,59
CBPA2_HUMAN,72,0.45339084454467893,0.15611098780667032,0.971774703778031,3.933333333333333,2,5,6,59
CBS_HUMAN,549,-0.06970789282315648,0.04235929534741112,-0.2779504858930905,0.6964705882352941,4,50,51,444
CBX4_HUMAN,50,-0.008796492929183275,0.35497137909787635,-0.018152396683916647,6.833333333333333,2,3,4,41
CCDB_ECOLI,100,0.004618634432997926,-0.0314689205459221,0.01161176982004052,0.8888888888888888,1,9,10,80
CCR5_HUMAN,323,-0.020346426489771252,0.15380019635170916,-0.07532686190864811,0.9,3,29,30,261
CD19_HUMAN,272,0.12231695156987998,-0.06954339813400479,0.39907953772545673,2.1936758893280635,5,22,23,222
CP2C9_HUMAN,490,-0.04491630447997791,0.016228109056128925,-0.2094686097065638,0.3484042553191489,2,47,48,393
CSN4_MOUSE,72,-0.14610155039640205,0.29568436580744106,-0.46633551129242035,1.380952380952381,1,6,7,58
CUE1_YEAST,52,0.43964428942492784,0.19972467195212196,1.1818288876929217,7.166666666666667,2,3,4,43
D7PM05_CLYGR,234,0.004539268124670592,0.008266100638885998,0.01224884354611843,2.0105263157894737,4,19,20,191
DLG4_HUMAN,84,0.3957642001848619,-0.005072407293285952,1.730919953958599,3.2857142857142856,2,6,7,69
