DMS_id,n,auroc_uniform,auroc_biogate,auroc_best
NP_000007.1,87,0.45294117647058824,0.35882352941176465,0.4764705882352941
NP_000008.1,26,0.9583333333333334,0.9166666666666667,0.9583333333333334
NP_000009.1,75,1.0,0.9782608695652174,0.995169082125604
NP_000010.1,47,1.0,1.0,1.0
NP_000011.2,165,0.9290322580645162,0.9225806451612903,0.9006451612903226
NP_000012.1,99,0.7526315789473684,0.7552631578947369,0.7684210526315789
NP_000013.2,36,1.0,1.0,1.0
NP_000014.1,37,0.9857142857142858,0.8428571428571429,0.9714285714285714
NP_000017.1,29,0.8400000000000001,0.73,0.88
NP_000018.2,14,1.0,0.9791666666666667,1.0
NP_000021.1,71,0.9484848484848485,0.9363636363636363,0.9075757575757575
NP_000023.2,26,0.9212121212121213,0.9212121212121213,0.7818181818181819
NP_000024.2,201,0.9703955656336609,0.9627110103300579,0.962207105064248
NP_000026.2,10,0.9047619047619049,0.7142857142857143,0.9047619047619049
NP_000028.3,10,0.9375,1.0,0.9375
NP_000034.1,21,1.0,1.0,1.0
NP_000035.2,113,0.9097938144329898,0.9027061855670103,0.8595360824742269
NP_000036.2,14,1.0,1.0,1.0
NP_000037.2,70,0.8761384335154827,0.8269581056466302,0.8797814207650273
NP_000038.2,35,0.8446969696969697,0.8106060606060606,0.8371212121212122
NP_000039.2,73,0.9615384615384616,0.9673076923076923,0.8903846153846154
NP_000040.1,44,0.9498069498069497,0.9073359073359074,0.9575289575289575
NP_000041.2,42,0.9605263157894737,0.9210526315789473,0.9605263157894737
NP_000043.4,191,0.9764150943396227,0.9235455974842768,0.9760220125786164
NP_000044.2,198,0.9344812164579607,0.9432021466905188,0.924865831842576
NP_000045.1,42,1.0,0.9909090909090909,0.990909090909091
NP_000048.1,32,1.0,0.9910714285714286,1.0
NP_000052.1,76,0.9966832504145937,0.9966832504145937,0.9917081260364843
NP_000053.2,49,1.0,0.9814814814814814,0.9915824915824916
NP_000055.2,11,0.7857142857142857,0.75,0.7857142857142857
NP_000060.2,140,0.9203629032258065,0.9027217741935484,0.8981854838709677
NP_000061.1,80,0.9061032863849765,0.8622848200312988,0.8544600938967136
NP_000062.1,62,0.9827586206896551,0.9698275862068966,0.9870689655172413
NP_000065.1,34,1.0,1.0,1.0
NP_000067.1,12,1.0,1.0,1.0
NP_000068.1,37,0.9772727272727273,0.9696969696969697,0.9772727272727273
NP_000070.1,11,1.0,1.0,0.9642857142857143
NP_000071.1,33,0.9945054945054945,0.9835164835164836,1.0
NP_000074.3,86,0.9723214285714286,0.9553571428571429,0.9616071428571429
NP_000076.2,35,1.0,0.9760000000000001,1.0
NP_000078.3,12,0.9142857142857143,0.9142857142857143,0.9142857142857143
NP_000079.2,338,0.9903465738249723,0.9776863427757556,0.9892915545708709
NP_000080.2,344,0.9953228998021226,0.9890268033819033,0.9962223421478684
NP_000081.2,290,0.9984463002524762,0.9990289376577977,0.9976694503787142
NP_000082.2,158,0.9945278022947925,0.9931156222418358,0.9929390997352162
NP_000083.3,139,0.99125,0.9833333333333334,0.9906250000000001
NP_000084.3,137,0.9642330383480826,0.9207227138643067,0.9690265486725663
NP_000086.2,113,0.9455445544554456,0.9026402640264026,0.9034653465346535
NP_000087.2,20,0.9866666666666667,0.9466666666666667,1.0
NP_000088.3,14,1.0,1.0,1.0
NP_000089.1,38,0.8571428571428571,0.8541666666666666,0.8511904761904762
NP_000093.1,32,1.0,1.0,1.0
NP_000095.2,25,0.9920634920634921,1.0,0.9841269841269842
