Unnamed: 0,DMS_id,spearman,coarse_selection_type,UniProt_ID,multimer_type,predicted_struct_score,mean_plddt,gain
0,AMFR_HUMAN_Tsuboyama_2023_4G3O,0.3967853645765118,Stability,AMFR_HUMAN,Monomer,0.433,97.66,-0.036214635423488184
1,ARGR_ECOLI_Tsuboyama_2023_1AOY,0.6741549766812936,Stability,ARGR_ECOLI,Monomer,0.738,96.12,-0.06384502331870634
2,BBC1_YEAST_Tsuboyama_2023_1TG0,0.6620578140384417,Stability,BBC1_YEAST,Monomer,0.644,98.16,0.018057814038441644
3,BCHB_CHLTE_Tsuboyama_2023_2KRU,0.5354921815068003,Stability,BCHB_CHLTE,Monomer,0.683,93.55,-0.14750781849319972
4,CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.8176289332446509,Stability,CBPA2_HUMAN,Multimer,0.82,91.14,-0.0023710667553490383
5,CSN4_MOUSE_Tsuboyama_2023_1UFM,0.6959824881113771,Stability,CSN4_MOUSE,Monomer,0.653,97.03,0.04298248811137706
6,DN7A_SACS2_Tsuboyama_2023_1JIC,0.3405808334063274,Stability,DN7A_SACS2,Multimer,0.66,86.21,-0.31941916659367264
7,DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.6983390807134617,Stability,DNJA1_HUMAN,Monomer,0.779,87.89,-0.08066091928653829
8,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.3201531866893397,Stability,DOCK1_MOUSE,Monomer,0.419,91.78,-0.09884681331066031
9,DYR_ECOLI_Nguyen_2023,0.466557056163119,OrganismalFitness,DYR_ECOLI,Multimer,0.374,97.42,0.09255705616311899
10,ENVZ_ECOLI_Ghose_2023,-0.0001694215526029,Activity,ENVZ_ECOLI,Multimer,0.114,93.62,-0.1141694215526029
11,EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.8465568251817083,Stability,EPHB2_HUMAN,Monomer,0.828,97.95,0.018556825181708314
12,FKBP3_HUMAN_Tsuboyama_2023_2KFV,0.5922506595848737,Stability,FKBP3_HUMAN,Monomer,0.687,90.34,-0.09474934041512639
13,HCP_LAMBD_Tsuboyama_2023_2L6Q,0.5887334222472754,Stability,HCP_LAMBD,Monomer,0.73,87.99,-0.14126657775272455
14,HECD1_HUMAN_Tsuboyama_2023_3DKM,0.4020289538062007,Stability,HECD1_HUMAN,Monomer,0.38,97.51,0.02202895380620068
15,ILF3_HUMAN_Tsuboyama_2023_2L33,0.4617769740622272,Stability,ILF3_HUMAN,Monomer,0.475,95.69,-0.013223025937772803
16,ISDH_STAAW_Tsuboyama_2023_2LHR,0.5519899019285343,Stability,ISDH_STAAW,Monomer,0.519,93.3,0.03298990192853424
17,KCNE1_HUMAN_Muhammad_2023_expression,0.1378906461619139,Expression,KCNE1_HUMAN,Monomer,0.139,66.62,-0.0011093538380861079
18,KCNE1_HUMAN_Muhammad_2023_function,0.1440638551402767,Activity,KCNE1_HUMAN,Monomer,0.182,66.62,-0.0379361448597233
19,MAFG_MOUSE_Tsuboyama_2023_1K1V,0.6365142452328062,Stability,MAFG_MOUSE,Monomer,0.638,93.6,-0.0014857547671938143
20,MBD11_ARATH_Tsuboyama_2023_6ACV,0.513102356424529,Stability,MBD11_ARATH,Monomer,0.773,85.43,-0.25989764357547107
21,MET_HUMAN_Estevam_2023,0.5087011584743962,Activity,MET_HUMAN,Monomer,0.498,95.3,0.010701158474396233
22,MYO3_YEAST_Tsuboyama_2023_2BTT,0.4872240053862304,Stability,MYO3_YEAST,Multimer,0.479,97.71,0.008224005386230415
23,NKX31_HUMAN_Tsuboyama_2023_2L9R,0.6073918215242174,Stability,NKX31_HUMAN,Monomer,0.643,96.03,-0.03560817847578257
24,NUSG_MYCTU_Tsuboyama_2023_2MI6,0.646680074373344,Stability,NUSG_MYCTU,Monomer,0.759,91.1,-0.11231992562665605
25,OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.6813825291562008,Stability,OBSCN_HUMAN,Monomer,0.782,92.91,-0.10061747084379924
26,ODP2_GEOSE_Tsuboyama_2023_1W4G,0.2466217986196818,Stability,ODP2_GEOSE,Monomer,0.437,93.82,-0.1903782013803182
27,OTU7A_HUMAN_Tsuboyama_2023_2L2D,0.6081672585105778,Stability,OTU7A_HUMAN,Monomer,0.61,91.97,-0.0018327414894221405
28,P84126_THETH_Chan_2017,0.4662123442014873,OrganismalFitness,P84126_THETH,Monomer,0.512,98.14,-0.04578765579851268
29,PA_I34A1_Wu_2015,0.1131617476182295,OrganismalFitness,PA_I34A1,Multimer,0.172,94.32,-0.058838252381770484
30,PITX2_HUMAN_Tsuboyama_2023_2L7M,0.5574567548482137,Stability,PITX2_HUMAN,Monomer,0.693,97.24,-0.13554324515178628
31,PKN1_HUMAN_Tsuboyama_2023_1URF,0.325799820122824,Stability,PKN1_HUMAN,Monomer,0.493,96.49,-0.167200179877176
32,POLG_PESV_Tsuboyama_2023_2MXD,0.7286002310481742,Stability,POLG_PESV,Monomer,0.65,95.0,0.07860023104817415
33,PR40A_HUMAN_Tsuboyama_2023_1UZC,0.7603477174878572,Stability,PR40A_HUMAN,Monomer,0.794,85.61,-0.033652282512142806
35,RAD_ANTMA_Tsuboyama_2023_2CJJ,0.6496040148282138,Stability,RAD_ANTMA,Monomer,0.656,96.78,-0.006395985171786189
36,RASK_HUMAN_Weng_2022_abundance,0.29599054417733,Expression,RASK_HUMAN,Monomer,0.377,96.92,-0.08100945582267
37,RASK_HUMAN_Weng_2022_binding-DARPin_K55,0.7012283816119496,Binding,RASK_HUMAN,Monomer,0.585,96.92,0.1162283816119496
38,RBP1_HUMAN_Tsuboyama_2023_2KWH,0.3840132825457669,Stability,RBP1_HUMAN,Monomer,0.578,88.01,-0.19398671745423307
39,RCD1_ARATH_Tsuboyama_2023_5OAO,0.4866454440228682,Stability,RCD1_ARATH,Multimer,0.56,88.16,-0.07335455597713186
40,RCRO_LAMBD_Tsuboyama_2023_1ORC,0.7622747922924517,Stability,RCRO_LAMBD,Monomer,0.782,97.66,-0.019725207707548376
41,RD23A_HUMAN_Tsuboyama_2023_1IFY,0.5199760046235136,Stability,RD23A_HUMAN,Monomer,0.582,90.14,-0.062023995376486396
42,REV_HV1H2_Fernandes_2016,0.1210831780477259,OrganismalFitness,REV_HV1H2,Multimer,0.304,77.24,-0.1829168219522741
43,RFAH_ECOLI_Tsuboyama_2023_2LCL,0.2800112394713706,Stability,RFAH_ECOLI,Monomer,0.384,88.48,-0.10398876052862943
44,RL20_AQUAE_Tsuboyama_2023_1GYZ,0.7672560823243356,Stability,RL20_AQUAE,Monomer,0.816,87.63,-0.04874391767566433
45,RS15_GEOSE_Tsuboyama_2023_1A32,0.5817966422138823,Stability,RS15_GEOSE,Monomer,0.607,97.68,-0.02520335778611771
46,SAV1_MOUSE_Tsuboyama_2023_2YSB,0.3620498536908068,Stability,SAV1_MOUSE,Monomer,0.443,91.99,-0.08095014630919323
47,SBI_STAAM_Tsuboyama_2023_2JVG,0.4926195777171587,Stability,SBI_STAAM,Monomer,0.687,94.83,-0.19438042228284136
48,SCIN_STAAR_Tsuboyama_2023_2QFF,0.533407490515369,Stability,SCIN_STAAR,Monomer,0.517,96.96,0.01640749051536894
49,SDA_BACSU_Tsuboyama_2023_1PV0,0.6592260990027724,Stability,SDA_BACSU,Monomer,0.608,96.52,0.05122609900277242
50,SOX30_HUMAN_Tsuboyama_2023_7JJK,0.5801788620230275,Stability,SOX30_HUMAN,Monomer,0.53,93.17,0.05017886202302746
51,SPG2_STRSG_Tsuboyama_2023_5UBS,0.505906760581582,Stability,SPG2_STRSG,Monomer,0.704,95.33,-0.19809323941841794
52,SPTN1_CHICK_Tsuboyama_2023_1TUD,0.5394375200146472,Stability,SPTN1_CHICK,Monomer,0.62,97.52,-0.08056247998535282
53,SQSTM_MOUSE_Tsuboyama_2023_2RRU,0.4258634257063087,Stability,SQSTM_MOUSE,Multimer,0.629,92.33,-0.2031365742936913
54,SR43C_ARATH_Tsuboyama_2023_2N88,0.6917527523321104,Stability,SR43C_ARATH,Multimer,0.731,83.91,-0.03924724766788956
55,SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.5721196345785327,Stability,SRBS1_HUMAN,Monomer,0.64,97.84,-0.06788036542146736
56,SUMO1_HUMAN_Weile_2017,0.3112811161911488,OrganismalFitness,SUMO1_HUMAN,Monomer,0.509,85.74,-0.19771888380885122
57,SYUA_HUMAN_Newberry_2020,0.1579070971176444,OrganismalFitness,SYUA_HUMAN,Monomer,-0.06,74.01,0.2179070971176444
58,THO1_YEAST_Tsuboyama_2023_2WQG,0.4952009162087458,Stability,THO1_YEAST,Monomer,0.561,78.26,-0.06579908379125426
59,TNKS2_HUMAN_Tsuboyama_2023_5JRT,0.6890617605998294,Stability,TNKS2_HUMAN,Monomer,0.675,97.45,0.014061760599829332
60,UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.4908624415096983,Stability,UBE4B_HUMAN,Monomer,0.52,97.26,-0.029137558490301696
61,VG08_BPP22_Tsuboyama_2023_2GP8,0.4612643050206891,Stability,VG08_BPP22,Monomer,0.543,88.22,-0.08173569497931094
62,VRPI_BPT7_Tsuboyama_2023_2WNM,0.5563746229219096,Stability,VRPI_BPT7,Monomer,0.593,88.96,-0.036625377078090326
63,YAIA_ECOLI_Tsuboyama_2023_2KVT,0.5538311734787813,Stability,YAIA_ECOLI,Monomer,0.651,92.15,-0.09716882652121872
64,YNZC_BACSU_Tsuboyama_2023_2JVD,0.6808506359859922,Stability,YNZC_BACSU,Multimer,0.68,95.63,0.0008506359859921098
