DMS_id,D_correct,D_incorrect,n,n_incorrect
NP_000007.1,0.3535661684151309,0.2607647756007549,87,9
NP_000008.1,0.31308933351398843,0.20261809278774337,26,1
NP_000009.1,0.33243361684770417,0.11487571091173585,75,2
NP_000010.1,0.3318136276963008,,47,0
NP_000011.2,0.38531371900072475,0.38121173782571477,165,13
NP_000012.1,0.3132367768699915,0.4734817912126822,99,1
NP_000013.2,0.3284633076342935,0.3045936338178007,36,1
NP_000014.1,0.49422645315863645,,37,0
NP_000017.1,0.31565916299266733,0.13278393931538346,29,7
NP_000021.1,0.3074852265925438,0.3067366327836749,71,6
NP_000023.2,0.28225775547825616,0.4280822529249902,26,2
NP_000024.2,0.2945901184190275,0.15217249155265575,201,11
NP_000034.1,0.35865563397974043,,21,0
NP_000035.2,0.3243073969949879,0.4186689127754937,113,16
NP_000037.2,0.3257536039600091,0.3879264616315472,70,7
NP_000038.2,0.3081747489891241,0.31063054254236305,35,7
NP_000039.2,0.2894913293177688,0.1848646424100972,73,9
NP_000040.1,0.2978092052453527,0.27662578308494323,44,5
NP_000041.2,0.34193111276030774,0.7278968219662016,42,1
NP_000043.4,0.2863506688865991,0.3501098378589364,191,9
NP_000044.2,0.3174721643145269,0.21885670176060487,198,10
NP_000045.1,0.25116501280012843,0.15548800905976093,42,1
NP_000048.1,0.3129480644451589,0.24977261447398355,32,1
NP_000052.1,0.4821289676710974,0.11933921450259675,76,1
NP_000053.2,0.2708710999776786,,49,0
NP_000060.2,0.2804898328187381,0.2639559963090468,140,17
NP_000061.1,0.429933921276354,0.21307683370310992,80,10
NP_000062.1,0.34371971787034394,0.5177639287612015,62,2
NP_000065.1,0.3286312195538533,,34,0
NP_000068.1,0.34150828582400056,,37,0
NP_000071.1,0.31771731178771145,0.3585800276374733,33,1
NP_000074.3,0.3073781128803942,0.18387316985724095,86,8
NP_000076.2,0.2270419150073879,,35,0
NP_000079.2,0.35581377920047935,0.19243640454052674,338,11
NP_000080.2,0.5187332659379187,0.13407909958242778,344,5
NP_000081.2,0.46160506164534765,0.30446581686684376,290,4
NP_000082.2,0.2731757907289667,0.07922869225457765,158,5
NP_000083.3,0.24729629011253013,0.3683674504923423,139,3
NP_000084.3,0.3093888893042954,0.2359601778717286,137,13
NP_000086.2,0.46017225300679065,0.24154810354126643,113,9
NP_000087.2,0.2882798504118922,0.2184555277118177,20,1
NP_000089.1,0.28682122055756815,0.3064706995356432,38,9
NP_000093.1,0.3894798413464221,,32,0
NP_000095.2,0.24955902274219355,0.1068674121934578,25,1
NP_000102.1,0.3082353198286287,,22,0
NP_000103.2,0.27533970441363687,0.28829622333581795,23,2
NP_000107.1,0.5221129305269725,,20,0
NP_000114.3,0.284936158651658,0.1825921281306115,25,6
NP_000115.1,0.31259185286237373,0.09860450622330977,55,2
NP_000118.2,0.3453214831895388,0.11776989956313384,47,2
NP_000119.1,0.3616528781891786,0.4727550013634757,33,5
NP_000121.2,0.34388072105696876,,40,0
NP_000122.1,0.29589915878033635,0.20095094964828578,29,1
NP_000124.1,0.3240805724801105,0.21803714439512029,116,19
NP_000126.2,0.36296607756315463,0.4903880872482374,104,14
NP_000128.1,0.4631083003996024,0.219785437500707,27,6
NP_000132.3,0.39798633205360917,0.16609845182726418,78,5
NP_000134.2,0.35174610697898395,0.12886094352533867,127,2
NP_000142.2,0.4490041017671286,0.2870020468306136,53,4
NP_000143.2,0.3650632569119662,0.19177263499965205,160,9
NP_000144.2,0.40595279440696874,0.31613511859925103,89,11
NP_000147.1,0.3419510104302286,0.41054280344210636,25,2
NP_000149.4,0.3182407965167937,0.5199560582338089,31,1
NP_000150.1,0.3837644128013135,0.4014883519143211,138,39
NP_000153.1,0.3573313212720297,,148,0
NP_000156.1,0.2602529517867731,,24,0
NP_000157.1,0.30936656839071025,,116,0
NP_000159.3,0.3653342283574498,0.15837485537136434,111,1
NP_000160.1,0.32774788204596833,0.34680448322782326,205,32
NP_000161.2,0.3757474651249428,0.1626970579553865,119,6
NP_000162.2,0.35879896885640467,,37,0
NP_000164.5,0.295296247389798,0.18630966284298583,27,4
NP_000168.1,0.3084706654963331,0.27997229661707296,32,3
NP_000170.1,0.2920744598186814,0.14899200411097238,92,6
NP_000171.1,0.33151877264606466,0.24773891781175691,34,2
NP_000173.2,0.3226448077960683,,23,0
NP_000177.2,0.3758016816161036,0.39988264946891067,22,1
NP_000178.2,0.4079056681102128,0.3041739386480438,40,3
NP_000181.2,0.29874883318797973,0.33214097276680743,38,2
NP_000183.2,0.3283114007718538,0.3338473606370466,42,5
NP_000185.1,0.4514299954011459,0.7416610832637531,22,2
NP_000186.2,0.32203758190897586,0.6748155802553575,21,2
NP_000190.1,0.3135698909922561,0.34421542446212733,59,7
NP_000194.2,0.40142621017263874,0.291912972171096,74,8
NP_000197.1,0.3036425110765786,0.15367966236935057,65,3
NP_000198.1,0.28126961866520533,,23,0
NP_000202.3,0.25626379850057973,0.17361775733293078,20,2
NP_000203.2,0.312616068532717,0.2026570923740162,65,10
NP_000205.1,0.23568864498413056,0.24061532890918969,79,5
NP_000206.2,0.3550678068656425,0.1999464209449664,28,2
NP_000207.2,0.33513155936527805,0.2277194219500535,22,2
NP_000209.2,0.4335987914527134,0.08737062334874757,197,3
NP_000219.2,0.29588740149820714,0.49189249376542565,34,1
NP_000226.2,0.34352685728741983,,41,0
NP_000228.1,0.23734305799595504,0.4661991392168561,40,2
