UniProt_ID,definition,n,rho
A0A140D2T1_ZIKV,D_std,214,-0.06169484655983958
A0A140D2T1_ZIKV,D_u,214,-0.06644644381843016
A0A140D2T1_ZIKV,D_MAD,214,-0.0803547075632314
A0A140D2T1_ZIKV,D_pair,214,-0.07126967319649702
A0A192B1T2_9HIV1,D_std,662,-0.09152706558259184
A0A192B1T2_9HIV1,D_u,662,-0.11751305585102712
A0A192B1T2_9HIV1,D_MAD,662,-0.0435166387084521
A0A192B1T2_9HIV1,D_pair,662,-0.08872252996019198
A0A1I9GEU1_NEIME,D_std,161,0.12994534270176825
A0A1I9GEU1_NEIME,D_u,161,0.20794072885942458
A0A1I9GEU1_NEIME,D_MAD,161,-0.006030059718421492
A0A1I9GEU1_NEIME,D_pair,161,0.09914660421147098
A0A247D711_LISMN,D_std,87,0.08652702660409511
A0A247D711_LISMN,D_u,87,-0.06296105600923571
A0A247D711_LISMN,D_MAD,87,0.07372339602181459
A0A247D711_LISMN,D_pair,87,0.05575274868497672
A0A2Z5U3Z0_9INFA,D_std,564,-0.1039458548459862
A0A2Z5U3Z0_9INFA,D_u,564,-0.09379889748757256
A0A2Z5U3Z0_9INFA,D_MAD,564,-0.11150931003408479
A0A2Z5U3Z0_9INFA,D_pair,564,-0.10987424134573022
A4D664_9INFA,D_std,759,-0.0429976999696498
A4D664_9INFA,D_u,759,-0.06127555372519138
A4D664_9INFA,D_MAD,759,-0.05911562125266849
A4D664_9INFA,D_pair,759,-0.0526485855816958
A4GRB6_PSEAI,D_std,266,-0.19749780929643637
A4GRB6_PSEAI,D_u,266,-0.31774873069352155
A4GRB6_PSEAI,D_MAD,266,-0.16701206885342904
A4GRB6_PSEAI,D_pair,266,-0.21971911059135088
AACC1_PSEAI,D_std,161,-0.03909245800723694
AACC1_PSEAI,D_u,161,0.008976211531839355
AACC1_PSEAI,D_MAD,161,-0.06341435361393155
AACC1_PSEAI,D_pair,161,-0.03672439451325337
ACE2_HUMAN,D_std,117,-0.1230255664926544
ACE2_HUMAN,D_u,117,-0.1833338328943433
ACE2_HUMAN,D_MAD,117,-0.07583772929757013
ACE2_HUMAN,D_pair,117,-0.11760055750031762
ADRB2_HUMAN,D_std,412,-0.0828347310727663
ADRB2_HUMAN,D_u,412,-0.1282389986022757
ADRB2_HUMAN,D_MAD,412,-0.1962021648443013
ADRB2_HUMAN,D_pair,412,-0.12451402929227866
AMIE_PSEAE,D_std,341,-0.23831482986021718
AMIE_PSEAE,D_u,341,-0.27221691335104536
