UniProt_ID,DMS_id,has_pdb,n_residues_mapped,target_len,align_pass_rate,median_plddt
A0A140D2T1_ZIKV,A0A140D2T1_ZIKV_Sourisseau_2019,True,504,3423,0.147239263803681,88.91999999999999
A0A192B1T2_9HIV1,A0A192B1T2_9HIV1_Haddox_2018,True,852,852,1.0,90.48
A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME_Kennouche_2019,True,161,161,1.0,90.59
A0A247D711_LISMN,A0A247D711_LISMN_Stadelmann_2021,True,87,87,1.0,89.33
A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Doud_2016,True,565,565,1.0,90.71
A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Wu_2014,True,565,565,1.0,90.73
A4D664_9INFA,A4D664_9INFA_Soh_2019,True,759,759,1.0,89.73
A4GRB6_PSEAI,A4GRB6_PSEAI_Chen_2020,True,266,266,1.0,98.58
A4_HUMAN,A4_HUMAN_Seuma_2022,True,770,770,1.0,34.435
AACC1_PSEAI,AACC1_PSEAI_Dandage_2018,True,177,177,1.0,96.26
ACE2_HUMAN,ACE2_HUMAN_Chan_2020,True,805,805,1.0,94.66
ADRB2_HUMAN,ADRB2_HUMAN_Jones_2020,True,413,413,1.0,92.53
AICDA_HUMAN,AICDA_HUMAN_Gajula_2014_3cycles,True,198,198,1.0,62.41
AMFR_HUMAN,AMFR_HUMAN_Tsuboyama_2023_4G3O,True,47,47,1.0,97.66
AMIE_PSEAE,AMIE_PSEAE_Wrenbeck_2017,True,346,346,1.0,98.79
ANCSZ,ANCSZ_Hobbs_2022,True,627,627,1.0,95.15
ARGR_ECOLI,ARGR_ECOLI_Tsuboyama_2023_1AOY,True,69,69,1.0,96.12
B2L11_HUMAN,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,True,198,198,1.0,91.315
BBC1_YEAST,BBC1_YEAST_Tsuboyama_2023_1TG0,True,64,64,1.0,98.16
BCHB_CHLTE,BCHB_CHLTE_Tsuboyama_2023_2KRU,True,52,52,1.0,93.55
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,True,286,286,1.0,98.71
BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,True,286,286,1.0,98.71
BLAT_ECOLX,BLAT_ECOLX_Jacquier_2013,True,286,286,1.0,98.71
BLAT_ECOLX,BLAT_ECOLX_Stiffler_2015,True,286,286,1.0,98.71
BRCA1_HUMAN,BRCA1_HUMAN_Findlay_2018,True,1863,1863,1.0,91.01
BRCA2_HUMAN,BRCA2_HUMAN_Erwood_2022_HEK293T,True,2832,3418,0.8285547103569338,87.01
C6KNH7_9INFA,C6KNH7_9INFA_Lee_2018,True,566,566,1.0,93.58500000000001
CALM1_HUMAN,CALM1_HUMAN_Weile_2017,True,149,149,1.0,83.95
CAPSD_AAV2S,CAPSD_AAV2S_Sinai_2021,True,735,735,1.0,98.6
CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_gof,True,1154,1154,1.0,87.57
CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_lof,True,1154,1154,1.0,87.53
CAS9_STRP1,CAS9_STRP1_Spencer_2017_positive,True,1368,1368,1.0,91.92
CASP3_HUMAN,CASP3_HUMAN_Roychowdhury_2020,True,258,258,1.0,93.81
CASP7_HUMAN,CASP7_HUMAN_Roychowdhury_2020,True,281,281,1.0,95.14
CATR_CHLRE,CATR_CHLRE_Tsuboyama_2023_2AMI,True,72,72,1.0,93.5
CBPA2_HUMAN,CBPA2_HUMAN_Tsuboyama_2023_1O6X,True,72,72,1.0,91.14
CBS_HUMAN,CBS_HUMAN_Sun_2020,True,551,551,1.0,94.91
CBX4_HUMAN,CBX4_HUMAN_Tsuboyama_2023_2K28,True,50,50,1.0,90.14
CCDB_ECOLI,CCDB_ECOLI_Adkar_2012,True,101,101,1.0,97.07
CCDB_ECOLI,CCDB_ECOLI_Tripathi_2016,True,101,101,1.0,97.08
CCR5_HUMAN,CCR5_HUMAN_Gill_2023,True,352,352,1.0,93.92
CD19_HUMAN,CD19_HUMAN_Klesmith_2019_FMC_singles,True,556,556,1.0,88.79
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,True,490,490,1.0,97.09
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_activity,True,490,490,1.0,97.16
CSN4_MOUSE,CSN4_MOUSE_Tsuboyama_2023_1UFM,True,72,72,1.0,97.03
CUE1_YEAST,CUE1_YEAST_Tsuboyama_2023_2MYX,True,52,52,1.0,97.55
D7PM05_CLYGR,D7PM05_CLYGR_Somermeyer_2022,True,235,235,1.0,98.32
DLG4_HUMAN,DLG4_HUMAN_Faure_2021,True,724,724,1.0,92.19
DLG4_RAT,DLG4_RAT_McLaughlin_2012,True,724,724,1.0,92.16
DN7A_SACS2,DN7A_SACS2_Tsuboyama_2023_1JIC,True,55,55,1.0,86.21
DNJA1_HUMAN,DNJA1_HUMAN_Tsuboyama_2023_2LO1,True,65,65,1.0,87.89
DOCK1_MOUSE,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,True,66,66,1.0,91.78
DYR_ECOLI,DYR_ECOLI_Nguyen_2023,True,159,159,1.0,97.42
DYR_ECOLI,DYR_ECOLI_Thompson_2019,True,159,159,1.0,97.33
ENVZ_ECOLI,ENVZ_ECOLI_Ghose_2023,True,60,60,1.0,93.62
ENV_HV1B9,ENV_HV1B9_DuenasDecamp_2016,True,853,853,1.0,90.53
ENV_HV1BR,ENV_HV1BR_Haddox_2016,True,861,861,1.0,87.05
EPHB2_HUMAN,EPHB2_HUMAN_Tsuboyama_2023_1F0M,True,66,66,1.0,97.95
ERBB2_HUMAN,ERBB2_HUMAN_Elazar_2016,True,1255,1255,1.0,79.12
ESTA_BACSU,ESTA_BACSU_Nutschel_2020,True,212,212,1.0,98.59
F7YBW8_MESOW,F7YBW8_MESOW_Aakre_2015,True,93,93,1.0,97.19
F7YBW8_MESOW,F7YBW8_MESOW_Ding_2023,True,93,93,1.0,93.46
FECA_ECOLI,FECA_ECOLI_Tsuboyama_2023_2D1U,True,72,72,1.0,92.06
FKBP3_HUMAN,FKBP3_HUMAN_Tsuboyama_2023_2KFV,True,69,69,1.0,90.34
GAL4_YEAST,GAL4_YEAST_Kitzman_2015,True,881,881,1.0,86.26
GCN4_YEAST,GCN4_YEAST_Staller_2018,True,281,281,1.0,61.28
GDIA_HUMAN,GDIA_HUMAN_Silverstein_2021,True,447,447,1.0,95.24
GFP_AEQVI,GFP_AEQVI_Sarkisyan_2016,True,238,238,1.0,98.39
GLPA_HUMAN,GLPA_HUMAN_Elazar_2016,True,150,150,1.0,89.46
GRB2_HUMAN,GRB2_HUMAN_Faure_2021,True,217,217,1.0,91.58
HCP_LAMBD,HCP_LAMBD_Tsuboyama_2023_2L6Q,True,55,55,1.0,87.99
HECD1_HUMAN,HECD1_HUMAN_Tsuboyama_2023_3DKM,True,72,72,1.0,97.51
HEM3_HUMAN,HEM3_HUMAN_Loggerenberg_2023,True,361,361,1.0,97.2
HIS7_YEAST,HIS7_YEAST_Pokusaeva_2019,True,220,220,1.0,98.34
HMDH_HUMAN,HMDH_HUMAN_Jiang_2019,True,888,888,1.0,87.89
HSP82_YEAST,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,True,709,709,1.0,89.82
HSP82_YEAST,HSP82_YEAST_Flynn_2019,True,709,709,1.0,91.625
HSP82_YEAST,HSP82_YEAST_Mishra_2016,True,709,709,1.0,90.53
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,True,465,465,1.0,95.28
HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,True,465,465,1.0,95.28
I6TAH8_I68A0,I6TAH8_I68A0_Doud_2015,True,498,498,1.0,94.055
IF1_ECOLI,IF1_ECOLI_Kelsic_2016,True,72,72,1.0,89.03
ILF3_HUMAN,ILF3_HUMAN_Tsuboyama_2023_2L33,True,71,71,1.0,95.69
ISDH_STAAW,ISDH_STAAW_Tsuboyama_2023_2LHR,True,55,55,1.0,93.3
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,True,129,129,1.0,66.62
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_function,True,129,129,1.0,66.62
KCNH2_HUMAN,KCNH2_HUMAN_Kozek_2020,True,1159,1159,1.0,82.61
KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_function,True,428,428,1.0,93.4
KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,True,428,428,1.0,93.32
KKA2_KLEPN,KKA2_KLEPN_Melnikov_2014,True,264,264,1.0,97.13
LGK_LIPST,LGK_LIPST_Klesmith_2015,True,439,439,1.0,98.66
LYAM1_HUMAN,LYAM1_HUMAN_Elazar_2016,True,372,372,1.0,75.29
MAFG_MOUSE,MAFG_MOUSE_Tsuboyama_2023_1K1V,True,41,41,1.0,93.6
MBD11_ARATH,MBD11_ARATH_Tsuboyama_2023_6ACV,True,66,66,1.0,85.43
MET_HUMAN,MET_HUMAN_Estevam_2023,True,287,287,1.0,95.3
MK01_HUMAN,MK01_HUMAN_Brenan_2016,True,360,360,1.0,94.59
MLAC_ECOLI,MLAC_ECOLI_MacRae_2023,True,211,211,1.0,97.46
MSH2_HUMAN,MSH2_HUMAN_Jia_2020,True,934,934,1.0,86.7
MTH3_HAEAE,MTH3_HAEAE_RockahShmuel_2015,True,330,330,1.0,98.04
MTHR_HUMAN,MTHR_HUMAN_Weile_2021,True,656,656,1.0,95.31
MYO3_YEAST,MYO3_YEAST_Tsuboyama_2023_2BTT,True,61,61,1.0,97.71
NCAP_I34A1,NCAP_I34A1_Doud_2015,True,498,498,1.0,93.88499999999999
NKX31_HUMAN,NKX31_HUMAN_Tsuboyama_2023_2L9R,True,61,61,1.0,96.03
NPC1_HUMAN,NPC1_HUMAN_Erwood_2022_HEK293T,True,1278,1278,1.0,90.3
NPC1_HUMAN,NPC1_HUMAN_Erwood_2022_RPE1,True,1278,1278,1.0,87.04
NRAM_I33A0,NRAM_I33A0_Jiang_2016,True,453,453,1.0,98.76
NUD15_HUMAN,NUD15_HUMAN_Suiter_2020,True,164,164,1.0,96.55
NUSA_ECOLI,NUSA_ECOLI_Tsuboyama_2023_1WCL,True,69,69,1.0,92.77
NUSG_MYCTU,NUSG_MYCTU_Tsuboyama_2023_2MI6,True,55,55,1.0,91.1
OBSCN_HUMAN,OBSCN_HUMAN_Tsuboyama_2023_1V1C,True,65,65,1.0,92.91
ODP2_GEOSE,ODP2_GEOSE_Tsuboyama_2023_1W4G,True,44,44,1.0,93.82
OPSD_HUMAN,OPSD_HUMAN_Wan_2019,True,348,348,1.0,96.53
OTC_HUMAN,OTC_HUMAN_Lo_2023,True,354,354,1.0,98.64
OTU7A_HUMAN,OTU7A_HUMAN_Tsuboyama_2023_2L2D,True,42,42,1.0,91.97
OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_activity,True,364,364,1.0,97.1
OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_expression,True,364,364,1.0,97.11
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,True,393,393,1.0,92.56
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Nutlin,True,393,393,1.0,92.56
P53_HUMAN,P53_HUMAN_Giacomelli_2018_WT_Nutlin,True,393,393,1.0,92.56
P53_HUMAN,P53_HUMAN_Kotler_2018,True,393,393,1.0,97.285
P84126_THETH,P84126_THETH_Chan_2017,True,254,254,1.0,98.14
PABP_YEAST,PABP_YEAST_Melamed_2013,True,577,577,1.0,94.5
PAI1_HUMAN,PAI1_HUMAN_Huttinger_2021,True,402,402,1.0,93.33
PA_I34A1,PA_I34A1_Wu_2015,True,716,716,1.0,94.32
PHOT_CHLRE,PHOT_CHLRE_Chen_2023,True,118,118,1.0,97.53
PIN1_HUMAN,PIN1_HUMAN_Tsuboyama_2023_1I6C,True,39,39,1.0,92.81
PITX2_HUMAN,PITX2_HUMAN_Tsuboyama_2023_2L7M,True,52,52,1.0,97.24
PKN1_HUMAN,PKN1_HUMAN_Tsuboyama_2023_1URF,True,71,71,1.0,96.49
POLG_CXB3N,POLG_CXB3N_Mattenberger_2021,True,2185,2185,1.0,75.82
POLG_DEN26,POLG_DEN26_Suphatrakul_2023,True,900,900,1.0,96.4
POLG_HCVJF,POLG_HCVJF_Qi_2014,True,244,3033,0.08044840092317837,
POLG_PESV,POLG_PESV_Tsuboyama_2023_2MXD,True,53,53,1.0,95.0
PPARG_HUMAN,PPARG_HUMAN_Majithia_2016,True,505,505,1.0,92.53999999999999
PPM1D_HUMAN,PPM1D_HUMAN_Miller_2022,True,605,605,1.0,95.33
PR40A_HUMAN,PR40A_HUMAN_Tsuboyama_2023_1UZC,True,63,63,1.0,85.61
PRKN_HUMAN,PRKN_HUMAN_Clausen_2023,True,465,465,1.0,88.54
PSAE_PICP2,PSAE_PICP2_Tsuboyama_2023_1PSE,True,68,68,1.0,94.51
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,True,403,403,1.0,95.53
PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,True,403,403,1.0,95.65
Q2N0S5_9HIV1,Q2N0S5_9HIV1_Haddox_2018,True,860,860,1.0,90.89
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,True,365,365,1.0,98.32
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,True,365,365,1.0,98.32
Q59976_STRSQ,Q59976_STRSQ_Romero_2015,True,501,501,1.0,98.67
Q6WV12_9MAXI,Q6WV12_9MAXI_Somermeyer_2022,True,222,222,1.0,98.3
Q837P4_ENTFA,Q837P4_ENTFA_Meier_2023,True,589,589,1.0,89.69
Q837P5_ENTFA,Q837P5_ENTFA_Meier_2023,True,571,571,1.0,90.44
Q8WTC7_9CNID,Q8WTC7_9CNID_Somermeyer_2022,True,238,238,1.0,98.0
R1AB_SARS2,R1AB_SARS2_Flynn_2022,True,306,306,1.0,97.33
RAD_ANTMA,RAD_ANTMA_Tsuboyama_2023_2CJJ,True,54,54,1.0,96.78
RAF1_HUMAN,RAF1_HUMAN_Zinkus-Boltz_2019,True,648,648,1.0,85.45
RASH_HUMAN,RASH_HUMAN_Bandaru_2017,True,189,189,1.0,96.76
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,True,188,188,1.0,96.92
RASK_HUMAN,RASK_HUMAN_Weng_2022_binding-DARPin_K55,True,188,188,1.0,96.92
RBP1_HUMAN,RBP1_HUMAN_Tsuboyama_2023_2KWH,True,52,52,1.0,88.01
RCD1_ARATH,RCD1_ARATH_Tsuboyama_2023_5OAO,True,57,57,1.0,88.16
RCRO_LAMBD,RCRO_LAMBD_Tsuboyama_2023_1ORC,True,63,63,1.0,97.66
RD23A_HUMAN,RD23A_HUMAN_Tsuboyama_2023_1IFY,True,44,44,1.0,90.14
RDRP_I33A0,RDRP_I33A0_Li_2023,True,757,757,1.0,91.03
REV_HV1H2,REV_HV1H2_Fernandes_2016,True,116,116,1.0,77.24
RFAH_ECOLI,RFAH_ECOLI_Tsuboyama_2023_2LCL,True,55,55,1.0,88.48
RL20_AQUAE,RL20_AQUAE_Tsuboyama_2023_1GYZ,True,59,59,1.0,87.63
RL40A_YEAST,RL40A_YEAST_Mavor_2016,True,128,128,1.0,93.06
RL40A_YEAST,RL40A_YEAST_Roscoe_2013,True,128,128,1.0,93.09
RL40A_YEAST,RL40A_YEAST_Roscoe_2014,True,128,128,1.0,93.075
RNC_ECOLI,RNC_ECOLI_Weeks_2023,True,226,226,1.0,96.45
RPC1_BP434,RPC1_BP434_Tsuboyama_2023_1R69,True,61,61,1.0,98.19
RPC1_LAMBD,RPC1_LAMBD_Li_2019_high-expression,True,237,237,1.0,95.76
RPC1_LAMBD,RPC1_LAMBD_Li_2019_low-expression,True,237,237,1.0,95.76
RS15_GEOSE,RS15_GEOSE_Tsuboyama_2023_1A32,True,63,63,1.0,97.68
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,True,553,553,1.0,86.25
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_activity,True,553,553,1.0,86.42
SAV1_MOUSE,SAV1_MOUSE_Tsuboyama_2023_2YSB,True,43,43,1.0,91.99
SBI_STAAM,SBI_STAAM_Tsuboyama_2023_2JVG,True,56,56,1.0,94.83
SC6A4_HUMAN,SC6A4_HUMAN_Young_2021,True,630,630,1.0,93.51
