UniProt_ID,n,rho
A0A140D2T1_ZIKV,214,-0.02033985471563224
A0A192B1T2_9HIV1,662,-0.008489786789880504
A0A1I9GEU1_NEIME,161,0.023737788734177114
A0A247D711_LISMN,87,0.08863210750409997
A0A2Z5U3Z0_9INFA,564,0.0789036872623121
A4D664_9INFA,759,-0.08248999515093221
A4GRB6_PSEAI,266,-0.15938818820234707
AACC1_PSEAI,161,0.22706810164805277
ACE2_HUMAN,117,0.031309944854253216
ADRB2_HUMAN,412,0.009489719013507704
AMIE_PSEAE,341,-0.09850752373083073
ANCSZ,274,-0.06280470615377406
ARGR_ECOLI,69,-0.050659042557636
BBC1_YEAST,64,-0.21333547316828472
BCHB_CHLTE,52,0.06424897022714089
BLAT_ECOLX,263,0.05993238853911245
BRCA1_HUMAN,326,0.12651531282428266
C6KNH7_9INFA,566,0.12921083822505555
CALM1_HUMAN,148,-0.15846262765555655
CAR11_HUMAN,141,0.1388704269196346
CAS9_STRP1,1368,-0.10078834990228643
CASP3_HUMAN,257,-0.11615804926295058
CASP7_HUMAN,280,0.042178940978746776
CATR_CHLRE,72,-0.21696103416543072
CBPA2_HUMAN,72,-0.11779271318435723
CBS_HUMAN,549,0.05670047337082735
CBX4_HUMAN,50,-0.10166154448909771
CCDB_ECOLI,100,-0.0886435236979755
CCR5_HUMAN,323,0.03224663466595214
CD19_HUMAN,272,-0.06650196220175385
CP2C9_HUMAN,490,-0.09447514188528543
CSN4_MOUSE,72,0.08203561535682342
CUE1_YEAST,52,-0.29098360682254215
D7PM05_CLYGR,234,-0.003953156909438545
DLG4_HUMAN,84,-0.1999412771316118
DLG4_RAT,83,-0.19156818707631318
DN7A_SACS2,55,0.12081747508233633
DNJA1_HUMAN,65,-0.14842819524700787
DOCK1_MOUSE,66,0.015553235992876361
DYR_ECOLI,158,-0.02699193498130227
ENVZ_ECOLI,60,-0.16282300639066408
ENV_HV1BR,677,0.09809063778471853
EPHB2_HUMAN,66,-0.21488069217526704
ESTA_BACSU,168,-0.043496970597483274
FECA_ECOLI,72,-0.15842746336942004
FKBP3_HUMAN,69,-0.2667092946376179
GAL4_YEAST,64,-0.2028182557167645
GDIA_HUMAN,445,-0.06273581260399007
GFP_AEQVI,233,-0.04951264869447774
GRB2_HUMAN,55,-0.0126984126984127
HCP_LAMBD,55,-0.07168238966515446
HECD1_HUMAN,72,0.021401122337698565
HEM3_HUMAN,342,-0.15369954921952755
HIS7_YEAST,91,-0.12987468265918947
HMDH_HUMAN,887,0.26981089667820585
HSP82_YEAST,707,0.042313765319362824
HXK4_HUMAN,464,0.0409265344615278
I6TAH8_I68A0,498,0.04842946915248864
