UniProt_ID,target_len,uni_len,n_mapped,coverage,identity
A0A1I9GEU1_NEIME,161,161,161,1.0,1.0
A0A247D711_LISMN,87,87,87,1.0,1.0
A4_HUMAN,770,770,770,1.0,1.0
AACC1_PSEAI,177,177,177,1.0,0.9943502824858758
ACE2_HUMAN,805,805,805,1.0,1.0
ADRB2_HUMAN,413,413,413,1.0,1.0
AICDA_HUMAN,198,198,198,1.0,1.0
AMFR_HUMAN,47,643,47,1.0,0.9574468085106383
AMIE_PSEAE,346,346,346,1.0,1.0
ARGR_ECOLI,69,156,69,1.0,1.0
B2L11_HUMAN,198,198,198,1.0,1.0
BBC1_YEAST,64,1157,64,1.0,1.0
BCHB_CHLTE,52,537,52,1.0,1.0
BLAT_ECOLX,286,286,286,1.0,1.0
BRCA1_HUMAN,1863,1863,1863,1.0,1.0
BRCA2_HUMAN,3418,3418,3418,1.0,1.0
C6KNH7_9INFA,566,566,566,1.0,0.9946996466431095
CALM1_HUMAN,149,149,149,1.0,1.0
CAPSD_AAV2S,735,735,735,1.0,1.0
CAR11_HUMAN,1154,1154,1154,1.0,1.0
CAS9_STRP1,1368,1368,1368,1.0,1.0
CASP3_HUMAN,258,277,250,0.9689922480620154,1.0
CASP7_HUMAN,281,303,281,1.0,1.0
CATR_CHLRE,72,169,72,1.0,1.0
CBPA2_HUMAN,72,419,72,1.0,1.0
CBS_HUMAN,551,551,551,1.0,1.0
CBX4_HUMAN,50,560,50,1.0,1.0
CCDB_ECOLI,101,101,101,1.0,1.0
CCR5_HUMAN,352,352,352,1.0,1.0
CD19_HUMAN,556,556,556,1.0,1.0
CP2C9_HUMAN,490,490,490,1.0,1.0
CSN4_MOUSE,72,406,72,1.0,1.0
CUE1_YEAST,52,203,52,1.0,1.0
D7PM05_CLYGR,235,235,235,1.0,1.0
DLG4_HUMAN,724,724,724,1.0,1.0
DLG4_RAT,724,724,724,1.0,1.0
DN7A_SACS2,55,64,55,1.0,1.0
DNJA1_HUMAN,65,397,65,1.0,1.0
DOCK1_MOUSE,66,1865,66,1.0,1.0
DYR_ECOLI,159,159,159,1.0,1.0
ENVZ_ECOLI,60,450,60,1.0,1.0
ENV_HV1B9,853,853,853,1.0,0.9976553341148886
ENV_HV1BR,861,861,861,1.0,0.9988385598141696
EPHB2_HUMAN,66,1055,66,1.0,1.0
ERBB2_HUMAN,1255,1255,1255,1.0,1.0
ESTA_BACSU,212,212,212,1.0,1.0
F7YBW8_MESOW,93,93,93,1.0,1.0
FECA_ECOLI,72,774,72,1.0,1.0
FKBP3_HUMAN,69,224,69,1.0,1.0
GAL4_YEAST,881,881,881,1.0,1.0
GCN4_YEAST,281,281,281,1.0,1.0
GDIA_HUMAN,447,447,447,1.0,1.0
GFP_AEQVI,238,238,238,1.0,0.9957983193277311
GLPA_HUMAN,150,150,150,1.0,0.9866666666666667
GRB2_HUMAN,217,217,217,1.0,1.0
HCP_LAMBD,55,68,55,1.0,0.9818181818181818
HECD1_HUMAN,72,2610,72,1.0,0.9444444444444444
HEM3_HUMAN,361,361,361,1.0,1.0
HIS7_YEAST,220,220,220,1.0,1.0
HMDH_HUMAN,888,888,888,1.0,1.0
HSP82_YEAST,709,709,709,1.0,1.0
HXK4_HUMAN,465,465,465,1.0,1.0
I6TAH8_I68A0,498,498,498,1.0,1.0
IF1_ECOLI,72,72,72,1.0,1.0
ILF3_HUMAN,71,894,71,1.0,1.0
ISDH_STAAW,55,895,55,1.0,1.0
KCNE1_HUMAN,129,129,129,1.0,0.9922480620155039
KCNH2_HUMAN,1159,1159,1159,1.0,1.0
KCNJ2_MOUSE,428,428,428,1.0,1.0
KKA2_KLEPN,264,264,264,1.0,1.0
LGK_LIPST,439,439,439,1.0,0.9931662870159453
LYAM1_HUMAN,372,372,372,1.0,1.0
MAFG_MOUSE,41,162,41,1.0,1.0
MBD11_ARATH,66,254,66,1.0,1.0
MET_HUMAN,287,1390,287,1.0,1.0
MK01_HUMAN,360,360,360,1.0,1.0
MLAC_ECOLI,211,211,211,1.0,1.0
MSH2_HUMAN,934,934,934,1.0,1.0
MTH3_HAEAE,330,330,330,1.0,0.9848484848484849
MTHR_HUMAN,656,656,656,1.0,1.0
MYO3_YEAST,61,1272,61,1.0,1.0
NCAP_I34A1,498,498,498,1.0,1.0
NKX31_HUMAN,61,234,61,1.0,0.9344262295081968
NPC1_HUMAN,1278,1278,1278,1.0,1.0
NRAM_I33A0,453,453,453,1.0,1.0
NUD15_HUMAN,164,164,164,1.0,1.0
NUSA_ECOLI,69,495,69,1.0,1.0
NUSG_MYCTU,55,238,55,1.0,1.0
OBSCN_HUMAN,65,7968,65,1.0,1.0
ODP2_GEOSE,44,428,44,1.0,0.9772727272727273
OPSD_HUMAN,348,348,348,1.0,1.0
OTC_HUMAN,354,354,354,1.0,1.0
OTU7A_HUMAN,42,926,42,1.0,1.0
OXDA_RHOTO,364,368,364,1.0,1.0
P53_HUMAN,393,393,393,1.0,0.9974554707379135
P84126_THETH,254,254,254,1.0,1.0
PABP_YEAST,577,577,577,1.0,1.0
PAI1_HUMAN,402,402,402,1.0,1.0
PA_I34A1,716,716,716,1.0,0.9762569832402235
PHOT_CHLRE,118,749,118,1.0,0.9915254237288136
PIN1_HUMAN,39,163,39,1.0,1.0
PITX2_HUMAN,52,317,52,1.0,0.9807692307692307
PKN1_HUMAN,71,942,71,1.0,0.9859154929577465
POLG_CXB3N,2185,2185,2185,1.0,0.9995423340961098
POLG_DEN26,900,3391,900,1.0,0.9922222222222222
POLG_HCVJF,3033,3033,3033,1.0,1.0
POLG_PESV,53,2254,53,1.0,1.0
PPARG_HUMAN,505,505,505,1.0,1.0
PPM1D_HUMAN,605,605,605,1.0,1.0
PR40A_HUMAN,63,957,63,1.0,1.0
PRKN_HUMAN,465,465,465,1.0,1.0
PSAE_PICP2,68,70,68,1.0,1.0
PTEN_HUMAN,403,403,403,1.0,1.0
Q2N0S5_9HIV1,860,860,860,1.0,0.9988372093023256
Q53Z42_HUMAN,365,365,365,1.0,1.0
Q6WV12_9MAXI,222,222,222,1.0,1.0
Q837P4_ENTFA,589,589,589,1.0,1.0
