UniProt_ID,assay_a,assay_b,n_shared_positions,agreement,chance_agreement,excess
A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA_Wu_2014,552,0.5543478260869565,0.1985960144927536,0.35575181159420294
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Firnberg_2014,263,0.8593155893536122,0.2254333588746404,0.6338822304789717
BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,BLAT_ECOLX_Jacquier_2013,263,0.5741444866920152,0.22777544853908543,0.3463690381529298
BLAT_ECOLX,BLAT_ECOLX_Jacquier_2013,BLAT_ECOLX_Stiffler_2015,263,0.5817490494296578,0.2238719657650103,0.35787708366464743
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Jacquier_2013,263,0.5703422053231939,0.22846940103225433,0.3418728042909396
BLAT_ECOLX,BLAT_ECOLX_Deng_2012,BLAT_ECOLX_Stiffler_2015,263,0.8212927756653993,0.22225274328094957,0.5990400323844497
CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_gof,CAR11_HUMAN_Meitlis_2020_lof,141,0.8936170212765957,0.1914390624214074,0.7021779588551883
CCDB_ECOLI,CCDB_ECOLI_Adkar_2012,CCDB_ECOLI_Tripathi_2016,100,0.73,0.2509,0.47909999999999997
CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,CP2C9_HUMAN_Amorosi_2021_activity,473,0.7610993657505285,0.2334073812514247,0.5276919844991038
DYR_ECOLI,DYR_ECOLI_Nguyen_2023,DYR_ECOLI_Thompson_2019,157,0.7898089171974523,0.22146943080855205,0.5683394863889002
HSP82_YEAST,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,HSP82_YEAST_Flynn_2019,119,0.6890756302521008,0.2233599322081774,0.46571569804392343
HSP82_YEAST,HSP82_YEAST_Flynn_2019,HSP82_YEAST_Mishra_2016,229,0.8209606986899564,0.2283137239945844,0.592646974695372
HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN_Gersing_2023_abundance,463,0.8596112311015118,0.21107063054826025,0.6485406005532516
KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN_Muhammad_2023_function,127,0.8582677165354331,0.1875503751007502,0.6707173414346829
KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,391,0.8695652173913043,0.2101765425396223,0.659388674851682
OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO_Vanella_2023_expression,364,0.8653846153846154,0.2208066658616109,0.6445779495230045
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_Null_Nutlin,393,0.8778625954198473,0.1836463816534908,0.6942162137663566
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN_Giacomelli_2018_WT_Nutlin,393,0.8854961832061069,0.18161982272465346,0.7038763604814534
P53_HUMAN,P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN_Kotler_2018,190,0.38421052631578945,0.17130193905817173,0.21290858725761772
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Giacomelli_2018_WT_Nutlin,393,0.8931297709923665,0.1809853090664232,0.7121444619259433
P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN_Kotler_2018,190,0.3894736842105263,0.1764819944598338,0.2129916897506925
PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN_Mighell_2018,383,0.8302872062663186,0.21032251907095964,0.6199646871953589
Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,Q53Z42_HUMAN_McShan_2019_expression,180,0.8277777777777777,0.2195679012345679,0.6082098765432098
RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,RASK_HUMAN_Weng_2022_binding-DARPin_K55,184,0.8695652173913043,0.21771620982986767,0.6518490075614367
RL40A_YEAST,RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2013,75,0.7733333333333333,0.20622222222222222,0.5671111111111111
RL40A_YEAST,RL40A_YEAST_Roscoe_2013,RL40A_YEAST_Roscoe_2014,75,0.7333333333333333,0.21031111111111112,0.5230222222222222
RL40A_YEAST,RL40A_YEAST_Mavor_2016,RL40A_YEAST_Roscoe_2014,75,0.7866666666666666,0.2248888888888889,0.5617777777777777
RPC1_LAMBD,RPC1_LAMBD_Li_2019_high-expression,RPC1_LAMBD_Li_2019_low-expression,59,0.8813559322033898,0.21717897155989657,0.6641769606434933
S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,S22A1_HUMAN_Yee_2023_activity,547,0.8025594149908593,0.24570450755157766,0.5568549074392816
SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,SPIKE_SARS2_Starr_2020_expression,201,0.8159203980099502,0.2607608722556372,0.5551595257543129
SRC_HUMAN,SRC_HUMAN_Ahler_2019,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,246,0.8170731707317073,0.22651860664948115,0.5905545640822261
SRC_HUMAN,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,SRC_HUMAN_Nguyen_2022,246,0.8252032520325203,0.22949302663758342,0.5957102253949369
SRC_HUMAN,SRC_HUMAN_Ahler_2019,SRC_HUMAN_Nguyen_2022,246,0.8577235772357723,0.23340934628858484,0.6243142309471874
VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,VKOR1_HUMAN_Chiasson_2020_activity,152,0.5921052631578947,0.22247229916897507,0.36963296398891965
